title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
The Box,Roddy Ricch,,1,1,9,1,False,2020-02-15
Life Is Good,Future Featuring Drake,,2,2,4,2,False,2020-02-15
Circles,Post Malone,,1,3,23,3,False,2020-02-15
Memories,Maroon 5,,2,4,20,4,False,2020-02-15
Dance Monkey,Tones And I,,5,7,18,5,False,2020-02-15
Someone You Loved,Lewis Capaldi,,1,5,39,6,False,2020-02-15
Roxanne,Arizona Zervas,,4,8,14,7,False,2020-02-15
"10,000 Hours",Dan + Shay & Justin Bieber,,4,6,18,8,False,2020-02-15
Don't Start Now,Dua Lipa,,9,9,14,9,False,2020-02-15
Everything I Wanted,Billie Eilish,,8,10,13,10,False,2020-02-15
Lose You To Love Me,Selena Gomez,,1,11,16,11,False,2020-02-15
Ballin',Mustard & Roddy Ricch,,11,16,29,12,False,2020-02-15
BOP,DaBaby,,11,14,19,13,False,2020-02-15
Yummy,Justin Bieber,,2,15,5,14,False,2020-02-15
Blinding Lights,The Weeknd,,11,18,10,15,False,2020-02-15
Good As Hell,Lizzo,,3,13,24,16,False,2020-02-15
Heartless,The Weeknd,,1,19,11,17,False,2020-02-15
The Bones,Maren Morris,,18,21,20,18,False,2020-02-15
Hot Girl Bummer,blackbear,,19,23,21,19,False,2020-02-15
Godzilla,Eminem Featuring Juice WRLD,,3,12,3,20,False,2020-02-15
High Fashion,Roddy Ricch Featuring Mustard,,20,22,6,21,False,2020-02-15
No Guidance,Chris Brown Featuring Drake,,5,24,35,22,False,2020-02-15
Adore You,Harry Styles,,23,29,9,23,False,2020-02-15
Woah,Lil Baby,,16,25,13,24,False,2020-02-15
Bad Guy,Billie Eilish,,1,17,45,25,False,2020-02-15
HIGHEST IN THE ROOM,Travis Scott,,1,20,18,26,False,2020-02-15
Falling,Trevor Daniel,,27,33,12,27,False,2020-02-15
Senorita,Shawn Mendes & Camila Cabello,,1,26,33,28,False,2020-02-15
What A Man Gotta Do,Jonas Brothers,,16,30,3,29,False,2020-02-15
You Should Be Sad,Halsey,,26,28,4,30,False,2020-02-15
My Oh My,Camila Cabello Featuring DaBaby,,31,35,9,31,False,2020-02-15
Trampoline,SHAED,,13,27,36,32,False,2020-02-15
I Do It,Lil Wayne Featuring Big Sean & Lil Baby,,33,0,1,33,True,2020-02-15
Kinfolks,Sam Hunt,,34,46,17,34,False,2020-02-15
Truth Hurts,Lizzo,,1,32,40,35,False,2020-02-15
One Man Band,Old Dominion,,20,40,24,36,False,2020-02-15
Only Human,Jonas Brothers,,18,37,33,37,False,2020-02-15
Sucker,Jonas Brothers,,1,39,44,38,False,2020-02-15
Suicidal,YNW Melly & Juice WRLD,,34,36,11,39,False,2020-02-15
I Don't Care,Ed Sheeran & Justin Bieber,,2,44,36,40,False,2020-02-15
Juicy,Doja Cat & Tyga,,41,48,15,41,False,2020-02-15
Tusa,Karol G & Nicki Minaj,,42,51,10,42,False,2020-02-15
Even Though I'm Leaving,Luke Combs,,11,41,23,43,False,2020-02-15
