title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
The Box,Roddy Ricch,,1,1,6,1,False,2020-01-25
Life Is Good,Future Featuring Drake,,2,0,1,2,True,2020-01-25
Circles,Post Malone,,1,3,20,3,False,2020-01-25
Memories,Maroon 5,,2,4,17,4,False,2020-01-25
Lose You To Love Me,Selena Gomez,,1,10,13,5,False,2020-01-25
Someone You Loved,Lewis Capaldi,,1,6,36,6,False,2020-01-25
"10,000 Hours",Dan + Shay & Justin Bieber,,4,5,15,7,False,2020-01-25
Dance Monkey,Tones And I,,7,7,15,8,False,2020-01-25
Roxanne,Arizona Zervas,,4,9,11,9,False,2020-01-25
Yummy,Justin Bieber,,2,2,2,10,False,2020-01-25
Good As Hell,Lizzo,,3,8,21,11,False,2020-01-25
BOP,DaBaby,,11,12,16,12,False,2020-01-25
Ballin',Mustard & Roddy Ricch,,11,11,26,13,False,2020-01-25
Don't Start Now,Dua Lipa,,14,14,11,14,False,2020-01-25
HIGHEST IN THE ROOM,Travis Scott,,1,13,15,15,False,2020-01-25
Sum 2 Prove,Lil Baby,,16,0,1,16,True,2020-01-25
Good News,Mac Miller,,17,0,1,17,True,2020-01-25
Heartless,The Weeknd,,1,17,8,18,False,2020-01-25
No Guidance,Chris Brown Featuring Drake,,5,15,32,19,False,2020-01-25
Trampoline,SHAED,,13,16,33,20,False,2020-01-25
Woah,Lil Baby,,16,22,10,21,False,2020-01-25
Everything I Wanted,Billie Eilish,,8,19,10,22,False,2020-01-25
The Bones,Maren Morris,,23,26,17,23,False,2020-01-25
Senorita,Shawn Mendes & Camila Cabello,,1,18,30,24,False,2020-01-25
Hot Girl Bummer,blackbear,,25,29,18,25,False,2020-01-25
Adore You,Harry Styles,,24,24,6,26,False,2020-01-25
High Fashion,Roddy Ricch Featuring Mustard,,27,35,3,27,False,2020-01-25
Panini,Lil Nas X,,5,23,30,28,False,2020-01-25
You Should Be Sad,Halsey,,29,0,1,29,True,2020-01-25
Rare,Selena Gomez,,30,0,1,30,True,2020-01-25
Hot,Young Thug Featuring Gunna,,11,21,22,31,False,2020-01-25
Blinding Lights,The Weeknd,,11,39,7,32,False,2020-01-25
Truth Hurts,Lizzo,,1,20,37,33,False,2020-01-25
Only Human,Jonas Brothers,,18,25,30,34,False,2020-01-25
Bandit,Juice WRLD & YoungBoy Never Broke Again,,10,28,15,35,False,2020-01-25
One Man Band,Old Dominion,,20,27,21,36,False,2020-01-25
Even Though I'm Leaving,Luke Combs,,11,31,20,37,False,2020-01-25
I Don't Care,Ed Sheeran & Justin Bieber,,2,32,33,38,False,2020-01-25
Suicidal,YNW Melly & Juice WRLD,,39,41,8,39,False,2020-01-25
Bad Guy,Billie Eilish,,1,33,42,40,False,2020-01-25
Falling,Trevor Daniel,,31,38,9,41,False,2020-01-25
Sucker,Jonas Brothers,,1,34,41,42,False,2020-01-25
Futsal Shuffle 2020,Lil Uzi Vert,,5,30,5,43,False,2020-01-25
My Oh My,Camila Cabello Featuring DaBaby,,44,44,6,44,False,2020-01-25
Juicy,Doja Cat & Tyga,,45,48,12,45,False,2020-01-25
On Chill,Wale Featuring Jeremih,,22,37,23,46,False,2020-01-25
Heartache Medication,Jon Pardi,,47,51,16,47,False,2020-01-25
Talk,Khalid,,3,42,46,48,False,2020-01-25
What If I Never Get Over You,Lady Antebellum,,40,40,21,49,False,2020-01-25
Lover,Taylor Swift,,10,36,22,50,False,2020-01-25
Kinfolks,Sam Hunt,,51,54,14,51,False,2020-01-25
Ridin' Roads,Dustin Lynch,,47,47,11,52,False,2020-01-25
U Played,MoneyBagg Yo Featuring Lil Baby,,53,60,2,53,False,2020-01-25
Playing Games,Summer Walker,,16,49,20,54,False,2020-01-25
