title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Mood,24kGoldn Featuring iann dior,,1,1,15,1,False,2020-11-28
Therefore I Am,Billie Eilish,,2,94,2,2,False,2020-11-28
Positions,Ariana Grande,,1,2,4,3,False,2020-11-28
I Hope,Gabby Barrett Featuring Charlie Puth,,3,3,47,4,False,2020-11-28
Laugh Now Cry Later,Drake Featuring Lil Durk,,2,4,14,5,False,2020-11-28
Holy,Justin Bieber Featuring Chance The Rapper,,3,7,9,6,False,2020-11-28
Blinding Lights,The Weeknd,,1,5,51,7,False,2020-11-28
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,,6,6,14,8,False,2020-11-28
Dakiti,Bad Bunny & Jhay Cortez,,8,8,3,9,False,2020-11-28
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,,6,10,20,10,False,2020-11-28
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,,1,9,23,11,False,2020-11-28
Go Crazy,Chris Brown & Young Thug,,9,13,28,12,False,2020-11-28
Kings & Queens,Ava Max,,13,15,15,13,False,2020-11-28
Dynamite,BTS,,1,17,13,14,False,2020-11-28
More Than My Hometown,Morgan Wallen,,15,19,23,15,False,2020-11-28
WAP,Cardi B Featuring Megan Thee Stallion,,1,11,15,16,False,2020-11-28
Rockstar,DaBaby Featuring Roddy Ricch,,1,14,31,17,False,2020-11-28
Before You Go,Lewis Capaldi,,9,16,42,18,False,2020-11-28
Be Like That,Kane Brown With Swae Lee & Khalid,,19,20,19,19,False,2020-11-28
Levitating,Dua Lipa,,20,26,7,20,False,2020-11-28
Watermelon Sugar,Harry Styles,,1,18,35,21,False,2020-11-28
Hawai,Maluma & The Weeknd,,12,12,13,22,False,2020-11-28
ily,Surf Mesa Featuring Emilee,,23,23,26,23,False,2020-11-28
Bang!,AJR,,24,24,20,24,False,2020-11-28
Starting Over,Chris Stapleton,,25,48,12,25,False,2020-11-28
Lonely,Justin Bieber & benny blanco,,14,21,5,26,False,2020-11-28
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,,8,30,3,27,False,2020-11-28
Said Sum,Moneybagg Yo,,17,22,20,28,False,2020-11-28
All I Want For Christmas Is You,Mariah Carey,,1,0,38,29,False,2020-11-28
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",,2,25,41,30,False,2020-11-28
Drankin N Smokin,Future & Lil Uzi Vert,,31,0,1,31,True,2020-11-28
What You Know Bout Love,Pop Smoke,,25,28,11,32,False,2020-11-28
One Of Them Girls,Lee Brice,,17,29,25,33,False,2020-11-28
One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,,33,33,24,34,False,2020-11-28
Love You Like I Used To,Russell Dickerson,,31,31,11,35,False,2020-11-28
Pretty Heart,Parker McCollum,,36,37,19,36,False,2020-11-28
Holiday,Lil Nas X,,37,0,1,37,True,2020-11-28
Happy Anywhere,Blake Shelton Featuring Gwen Stefani,,36,36,17,38,False,2020-11-28
Better Together,Luke Combs,,30,39,7,39,False,2020-11-28
Forever After All,Luke Combs,,2,27,4,40,False,2020-11-28
Got What I Got,Jason Aldean,,16,34,25,41,False,2020-11-28
"Big, Big Plans",Chris Lane,,42,56,7,42,False,2020-11-28
Rockin' Around The Christmas Tree,Brenda Lee,,2,0,33,43,False,2020-11-28
Wonder,Shawn Mendes,,18,32,7,44,False,2020-11-28
pov,Ariana Grande,,40,45,3,45,False,2020-11-28
Stripes Like Burberry,Future & Lil Uzi Vert,,46,0,1,46,True,2020-11-28
Come & Go,Juice WRLD x Marshmello,,2,38,19,47,False,2020-11-28
Diamonds,Sam Smith,,40,40,9,48,False,2020-11-28
