title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Way 2 Sexy,Drake Featuring Future & Young Thug,,1,0,1,1,True,2021-09-18
Girls Want Girls,Drake Featuring Lil Baby,,2,0,1,2,True,2021-09-18
Fair Trade,Drake Featuring Travis Scott,,3,0,1,3,True,2021-09-18
Champagne Poetry,Drake,,4,0,1,4,True,2021-09-18
Knife Talk,Drake Featuring 21 Savage & Project Pat,,5,0,1,5,True,2021-09-18
Stay,The Kid LAROI & Justin Bieber,,1,2,9,6,False,2021-09-18
In The Bible,Drake Featuring Lil Durk & Giveon,,7,0,1,7,True,2021-09-18
Papi's Home,Drake,,8,0,1,8,True,2021-09-18
TSU,Drake,,9,0,1,9,True,2021-09-18
Love All,Drake Featuring JAY-Z,,10,0,1,10,True,2021-09-18
No Friends In The Industry,Drake,,11,0,1,11,True,2021-09-18
N 2 Deep,Drake Featuring Future,,12,0,1,12,True,2021-09-18
Bad Habits,Ed Sheeran,,2,3,11,13,False,2021-09-18
Pipe Down,Drake,,14,0,1,14,True,2021-09-18
Good 4 U,Olivia Rodrigo,,1,4,17,15,False,2021-09-18
7am On Bridle Path,Drake,,16,0,1,16,True,2021-09-18
Butter,BTS,,1,1,16,17,False,2021-09-18
Race My Mind,Drake,,18,0,1,18,True,2021-09-18
Kiss Me More,Doja Cat Featuring SZA,,3,5,22,19,False,2021-09-18
Industry Baby,Lil Nas X & Jack Harlow,,2,7,7,20,False,2021-09-18
Fancy Like,Walker Hayes,,9,9,12,21,False,2021-09-18
IMY2,Drake Featuring Kid Cudi,,22,0,1,22,True,2021-09-18
Levitating,Dua Lipa,,2,8,49,23,False,2021-09-18
Yebba's Heartbreak,Drake & Yebba,,24,0,1,24,True,2021-09-18
You Only Live Twice,Drake Featuring Lil Wayne & Rick Ross,,25,0,1,25,True,2021-09-18
Fountains,Drake Featuring Tems,,26,0,1,26,True,2021-09-18
Get Along Better,Drake Featuring Ty Dolla $ign,,27,0,1,27,True,2021-09-18
Save Your Tears,The Weeknd & Ariana Grande,,1,14,39,28,False,2021-09-18
Hurricane,Kanye West,,6,6,2,29,False,2021-09-18
Montero (Call Me By Your Name),Lil Nas X,,1,15,24,30,False,2021-09-18
Deja Vu,Olivia Rodrigo,,3,13,23,31,False,2021-09-18
Fucking Fans,Drake,,32,0,1,32,True,2021-09-18
Heat Waves,Glass Animals,,19,23,34,33,False,2021-09-18
Essence,Wizkid Featuring Justin Bieber & Tems,,13,19,10,34,False,2021-09-18
The Remorse,Drake,,35,0,1,35,True,2021-09-18
You Right,Doja Cat & The Weeknd,,11,21,11,36,False,2021-09-18
Take My Breath,The Weeknd,,6,25,5,37,False,2021-09-18
Need To Know,Doja Cat,,14,24,13,38,False,2021-09-18
Beggin',Maneskin,,29,35,11,39,False,2021-09-18
Leave Before You Love Me,Marshmello X Jonas Brothers,,19,33,16,40,False,2021-09-18
Off The Grid,Kanye West,,11,11,2,41,False,2021-09-18
Happier Than Ever,Billie Eilish,,11,38,6,42,False,2021-09-18
If I Didn't Love You,Jason Aldean & Carrie Underwood,,15,50,7,43,False,2021-09-18
Family Ties,Baby Keem & Kendrick Lamar,,18,18,2,44,False,2021-09-18
Pepas,Farruko,,26,36,7,45,False,2021-09-18
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),,1,29,27,46,False,2021-09-18
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,,1,31,25,47,False,2021-09-18
Waves,Luke Bryan,,24,37,12,48,False,2021-09-18
Traitor,Olivia Rodrigo,,9,39,16,49,False,2021-09-18
Moon,Kanye West,,17,17,2,50,False,2021-09-18
Things A Man Oughta Know,Lainey Wilson,,32,45,17,51,False,2021-09-18
Country Again,Thomas Rhett,,42,51,19,52,False,2021-09-18
Chasing After You,Ryan Hurd With Maren Morris,,34,47,19,53,False,2021-09-18
Arcade,Duncan Laurence,,30,44,22,54,False,2021-09-18
Rumors,Lizzo Featuring Cardi B,,4,32,4,55,False,2021-09-18
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,,45,55,10,56,False,2021-09-18
Thot Shit,Megan Thee Stallion,,16,46,13,57,False,2021-09-18
Jail,Kanye West,,10,10,2,58,False,2021-09-18
Late At Night,Roddy Ricch,,20,48,14,59,False,2021-09-18
A-O-K,Tai Verdes,,52,56,10,60,False,2021-09-18
I Was On A Boat That Day,Old Dominion,,61,67,10,61,False,2021-09-18
Wockesha,Moneybagg Yo,,33,54,20,62,False,2021-09-18
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,,22,22,2,63,False,2021-09-18
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,,20,49,19,64,False,2021-09-18
Ok Ok,Kanye West,,12,12,2,65,False,2021-09-18
Praise God,Kanye West,,20,20,2,66,False,2021-09-18
Skate,Silk Sonic (Bruno Mars & Anderson .Paak),,14,57,6,67,False,2021-09-18
Whole Lotta Money,BIA Featuring Nicki Minaj,,16,60,9,68,False,2021-09-18
Love Again,Dua Lipa,,54,66,8,69,False,2021-09-18
Memory I Don't Mess With,Lee Brice,,70,78,7,70,False,2021-09-18
Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,,24,61,15,71,False,2021-09-18
You Time,Scotty McCreery,,72,82,6,72,False,2021-09-18
Todo de Ti,Rauw Alejandro,,32,69,15,73,False,2021-09-18
Buy Dirt,Jordan Davis Featuring Luke Bryan,,74,84,5,74,False,2021-09-18
2055,Sleepy Hallow,,51,62,8,75,False,2021-09-18
Cold As You,Luke Combs,,76,80,6,76,False,2021-09-18
Volvi,Aventura x Bad Bunny,,22,72,6,77,False,2021-09-18
Junya,Kanye West,,16,16,2,78,False,2021-09-18
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,,53,79,20,79,False,2021-09-18
Woman,Doja Cat,,68,76,6,80,False,2021-09-18
We Didn't Have Much,Justin Moore,,41,65,12,81,False,2021-09-18
Gyalis,Capella Grey,,71,74,6,82,False,2021-09-18
Wild Side,Normani Featuring Cardi B,,14,71,8,83,False,2021-09-18
Yonaguni,Bad Bunny,,10,73,14,84,False,2021-09-18
Believe What I Say,Kanye West,,28,28,2,85,False,2021-09-18
Memory,Kane Brown X blackbear,,50,75,9,86,False,2021-09-18
Blue Note$ II,Meek Mill Featuring Lil Uzi Vert,,87,0,1,87,True,2021-09-18
