title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Toosie Slide,Drake,,1,0,1,1,True,2020-04-18
Blinding Lights,The Weeknd,,1,1,19,2,False,2020-04-18
The Box,Roddy Ricch,,1,2,18,3,False,2020-04-18
Don't Start Now,Dua Lipa,,2,3,23,4,False,2020-04-18
Life Is Good,Future Featuring Drake,,2,5,13,5,False,2020-04-18
Circles,Post Malone,,1,4,32,6,False,2020-04-18
Adore You,Harry Styles,,6,6,18,7,False,2020-04-18
Say So,Doja Cat Featuring Nicki Minaj,,7,7,14,8,False,2020-04-18
Intentions,Justin Bieber Featuring Quavo,,8,8,9,9,False,2020-04-18
Everything I Wanted,Billie Eilish,,8,9,22,10,False,2020-04-18
Someone You Loved,Lewis Capaldi,,1,10,48,11,False,2020-04-18
The Bones,Maren Morris,,12,14,29,12,False,2020-04-18
My Oh My,Camila Cabello Featuring DaBaby,,13,15,18,13,False,2020-04-18
Savage,Megan Thee Stallion,,14,18,4,14,False,2020-04-18
Memories,Maroon 5,,2,13,29,15,False,2020-04-18
Roxanne,Arizona Zervas,,4,11,23,16,False,2020-04-18
Hot Girl Bummer,blackbear,,11,16,30,17,False,2020-04-18
Blueberry Faygo,Lil Mosey,,18,19,9,18,False,2020-04-18
Heartless,The Weeknd,,1,12,20,19,False,2020-04-18
I Hope,Gabby Barrett Featuring Charlie Puth,,20,22,15,20,False,2020-04-18
Dance Monkey,Tones And I,,4,20,27,21,False,2020-04-18
Find My Way,DaBaby,,22,0,1,22,True,2020-04-18
Falling,Trevor Daniel,,23,25,21,23,False,2020-04-18
Nobody But You,Blake Shelton Duet With Gwen Stefani,,24,32,13,24,False,2020-04-18
Heart On Ice,Rod Wave,,25,30,22,25,False,2020-04-18
Ballin',Mustard & Roddy Ricch,,11,24,38,26,False,2020-04-18
Chasin' You,Morgan Wallen,,27,36,11,27,False,2020-04-18
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,,26,26,20,28,False,2020-04-18
Catch,Brett Young,,29,40,11,29,False,2020-04-18
Roses,SAINt JHN,,30,39,3,30,False,2020-04-18
High Fashion,Roddy Ricch Featuring Mustard,,20,31,15,31,False,2020-04-18
Stupid Love,Lady Gaga,,5,27,6,32,False,2020-04-18
Death Bed,Powfu Featuring beabadoobee,,33,43,4,33,False,2020-04-18
"10,000 Hours",Dan + Shay & Justin Bieber,,4,28,27,34,False,2020-04-18
BOP,DaBaby,,11,29,28,35,False,2020-04-18
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",,36,49,9,36,False,2020-04-18
More Hearts Than Mine,Ingrid Andress,,37,44,15,37,False,2020-04-18
No Guidance,Chris Brown Featuring Drake,,5,35,44,38,False,2020-04-18
Break My Heart,Dua Lipa,,21,21,2,39,False,2020-04-18
Hard To Forget,Sam Hunt,,40,91,2,40,False,2020-04-18
I Love Me,Demi Lovato,,18,41,5,41,False,2020-04-18
Slow Dance In A Parking Lot,Jordan Davis,,37,37,14,42,False,2020-04-18
Suicidal,YNW Melly & Juice WRLD,,20,33,19,43,False,2020-04-18
Sunday Best,Surfaces,,44,52,6,44,False,2020-04-18
Slide,H.E.R. Featuring YG,,45,45,16,45,False,2020-04-18
Turks,"NAV, Gunna & Travis Scott",,17,17,2,46,False,2020-04-18
In Your Eyes,The Weeknd,,16,42,3,47,False,2020-04-18
Homesick,Kane Brown,,35,38,21,48,False,2020-04-18
BEST ON EARTH,Russ & BIA,,46,48,18,49,False,2020-04-18
Does To Me,Luke Combs Featuring Eric Church,,50,59,4,50,False,2020-04-18
I Hope You're Happy Now,Carly Pearce & Lee Brice,,51,58,14,51,False,2020-04-18
You Should Be Sad,Halsey,,26,34,13,52,False,2020-04-18
Godzilla,Eminem Featuring Juice WRLD,,3,47,12,53,False,2020-04-18
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,,54,56,4,54,False,2020-04-18
Dior,Pop Smoke,,30,54,8,55,False,2020-04-18
Sum 2 Prove,Lil Baby,,16,55,13,56,False,2020-04-18
Homemade,Jake Owen,,39,51,11,57,False,2020-04-18
Believe It,PARTYNEXTDOOR & Rihanna,,23,23,2,58,False,2020-04-18
Yo Perreo Sola,Bad Bunny,,53,53,4,59,False,2020-04-18
Walk Em Down,NLE Choppa Featuring Roddy Ricch,,57,57,3,60,False,2020-04-18
Supalonely,BENEE Featuring Gus Dapperton,,61,62,4,61,False,2020-04-18
What She Wants Tonight,Luke Bryan,,46,50,16,62,False,2020-04-18
Before You Go,Lewis Capaldi,,63,66,10,63,False,2020-04-18
Fuck The World,Rod Wave,,64,0,1,64,True,2020-04-18
