title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Butter,BTS,,1,7,15,1,False,2021-09-11
Stay,The Kid LAROI & Justin Bieber,,1,1,8,2,False,2021-09-11
Bad Habits,Ed Sheeran,,2,2,10,3,False,2021-09-11
Good 4 U,Olivia Rodrigo,,1,3,16,4,False,2021-09-11
Kiss Me More,Doja Cat Featuring SZA,,3,4,21,5,False,2021-09-11
Hurricane,Kanye West,,6,0,1,6,True,2021-09-11
Industry Baby,Lil Nas X & Jack Harlow,,2,5,6,7,False,2021-09-11
Levitating,Dua Lipa,,2,6,48,8,False,2021-09-11
Fancy Like,Walker Hayes,,9,11,11,9,False,2021-09-11
Jail,Kanye West,,10,0,1,10,True,2021-09-11
Off The Grid,Kanye West,,11,0,1,11,True,2021-09-11
Ok Ok,Kanye West,,12,0,1,12,True,2021-09-11
Deja Vu,Olivia Rodrigo,,3,8,22,13,False,2021-09-11
Save Your Tears,The Weeknd & Ariana Grande,,1,10,38,14,False,2021-09-11
Montero (Call Me By Your Name),Lil Nas X,,1,9,23,15,False,2021-09-11
Junya,Kanye West,,16,0,1,16,True,2021-09-11
Moon,Kanye West,,17,0,1,17,True,2021-09-11
Family Ties,Baby Keem & Kendrick Lamar,,18,0,1,18,True,2021-09-11
Essence,Wizkid Featuring Justin Bieber & Tems,,13,13,9,19,False,2021-09-11
Praise God,Kanye West,,20,0,1,20,True,2021-09-11
You Right,Doja Cat & The Weeknd,,11,12,10,21,False,2021-09-11
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,,22,0,1,22,True,2021-09-11
Heat Waves,Glass Animals,,19,33,33,23,False,2021-09-11
Need To Know,Doja Cat,,14,14,12,24,False,2021-09-11
Take My Breath,The Weeknd,,6,16,4,25,False,2021-09-11
Jesus Lord,Kanye West,,26,0,1,26,True,2021-09-11
Jonah,Kanye West,,27,0,1,27,True,2021-09-11
Believe What I Say,Kanye West,,28,0,1,28,True,2021-09-11
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),,1,15,26,29,False,2021-09-11
God Breathed,Kanye West,,30,0,1,30,True,2021-09-11
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,,1,18,24,31,False,2021-09-11
Rumors,Lizzo Featuring Cardi B,,4,17,3,32,False,2021-09-11
Leave Before You Love Me,Marshmello X Jonas Brothers,,19,21,15,33,False,2021-09-11
Heartbreak Anniversary,Giveon,,16,19,29,34,False,2021-09-11
Beggin',Maneskin,,29,29,10,35,False,2021-09-11
Pepas,Farruko,,26,26,6,36,False,2021-09-11
Waves,Luke Bryan,,24,24,11,37,False,2021-09-11
Happier Than Ever,Billie Eilish,,11,22,5,38,False,2021-09-11
Traitor,Olivia Rodrigo,,9,28,15,39,False,2021-09-11
Remote Control,Kanye West,,40,0,1,40,True,2021-09-11
Forever After All,Luke Combs,,2,23,45,41,False,2021-09-11
Heaven And Hell,Kanye West,,42,0,1,42,True,2021-09-11
24,Kanye West,,43,0,1,43,True,2021-09-11
Arcade,Duncan Laurence,,30,30,21,44,False,2021-09-11
Things A Man Oughta Know,Lainey Wilson,,32,32,16,45,False,2021-09-11
Thot Shit,Megan Thee Stallion,,16,27,12,46,False,2021-09-11
Chasing After You,Ryan Hurd With Maren Morris,,34,34,18,47,False,2021-09-11
Late At Night,Roddy Ricch,,20,31,13,48,False,2021-09-11
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,,20,25,18,49,False,2021-09-11
If I Didn't Love You,Jason Aldean & Carrie Underwood,,15,44,6,50,False,2021-09-11
Country Again,Thomas Rhett,,42,42,18,51,False,2021-09-11
Pure Souls,Kanye West,,52,0,1,52,True,2021-09-11
No Child Left Behind,Kanye West,,53,0,1,53,True,2021-09-11
Wockesha,Moneybagg Yo,,33,35,19,54,False,2021-09-11
