title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Easy On Me,Adele,,1,68,2,1,False,2021-10-30
Stay,The Kid LAROI & Justin Bieber,,1,2,15,2,False,2021-10-30
Industry Baby,Lil Nas X & Jack Harlow,,1,1,13,3,False,2021-10-30
Fancy Like,Walker Hayes,,3,3,18,4,False,2021-10-30
Bad Habits,Ed Sheeran,,2,4,17,5,False,2021-10-30
Way 2 Sexy,Drake Featuring Future & Young Thug,,1,5,7,6,False,2021-10-30
Good 4 U,Olivia Rodrigo,,1,6,23,7,False,2021-10-30
Levitating,Dua Lipa,,2,8,55,8,False,2021-10-30
Shivers,Ed Sheeran,,9,10,6,9,False,2021-10-30
Kiss Me More,Doja Cat Featuring SZA,,3,7,28,10,False,2021-10-30
Need To Know,Doja Cat,,11,11,19,11,False,2021-10-30
Essence,Wizkid Featuring Justin Bieber & Tems,,9,9,16,12,False,2021-10-30
My Universe,Coldplay x BTS,,1,18,4,13,False,2021-10-30
Heat Waves,Glass Animals,,12,12,40,14,False,2021-10-30
Beggin',Maneskin,,15,15,17,15,False,2021-10-30
You Right,Doja Cat & The Weeknd,,11,16,17,16,False,2021-10-30
Save Your Tears,The Weeknd & Ariana Grande,,1,13,45,17,False,2021-10-30
Knife Talk,Drake Featuring 21 Savage & Project Pat,,4,14,7,18,False,2021-10-30
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",,17,17,2,19,False,2021-10-30
Bubbly,Young Thug With Drake & Travis Scott,,20,0,1,20,True,2021-10-30
Cold Heart (PNAU Remix),Elton John & Dua Lipa,,21,25,7,21,False,2021-10-30
Traitor,Olivia Rodrigo,,9,21,22,22,False,2021-10-30
If I Didn't Love You,Jason Aldean & Carrie Underwood,,15,19,13,23,False,2021-10-30
Montero (Call Me By Your Name),Lil Nas X,,1,20,30,24,False,2021-10-30
Chasing After You,Ryan Hurd With Maren Morris,,23,23,25,25,False,2021-10-30
Girls Want Girls,Drake Featuring Lil Baby,,2,22,7,26,False,2021-10-30
Take My Breath,The Weeknd,,6,24,11,27,False,2021-10-30
Thats What I Want,Lil Nas X,,10,26,5,28,False,2021-10-30
Pepas,Farruko,,25,27,13,29,False,2021-10-30
Happier Than Ever,Billie Eilish,,11,30,12,30,False,2021-10-30
