title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Mood,24kGoldn Featuring iann dior,,1,7,21,1,False,2021-01-09
Positions,Ariana Grande,,1,14,10,2,False,2021-01-09
Blinding Lights,The Weeknd,,1,0,56,3,False,2021-01-09
Holy,Justin Bieber Featuring Chance The Rapper,,3,21,15,4,False,2021-01-09
Dynamite,BTS,,1,44,19,5,False,2021-01-09
Go Crazy,Chris Brown & Young Thug,,6,24,34,6,False,2021-01-09
Laugh Now Cry Later,Drake Featuring Lil Durk,,2,25,20,7,False,2021-01-09
I Hope,Gabby Barrett Featuring Charlie Puth,,3,30,53,8,False,2021-01-09
All I Want For Christmas Is You,Mariah Carey,,1,1,44,9,False,2021-01-09
Levitating,Dua Lipa,,10,27,13,10,False,2021-01-09
Bang!,AJR,,11,37,26,11,False,2021-01-09
Rockin' Around The Christmas Tree,Brenda Lee,,2,2,39,12,False,2021-01-09
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,,6,29,26,13,False,2021-01-09
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,,6,31,20,14,False,2021-01-09
Jingle Bell Rock,Bobby Helms,,3,3,36,15,False,2021-01-09
Kings & Queens,Ava Max,,13,41,21,16,False,2021-01-09
A Holly Jolly Christmas,Burl Ives,,4,4,20,17,False,2021-01-09
Therefore I Am,Billie Eilish,,2,42,8,18,False,2021-01-09
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,,8,40,9,19,False,2021-01-09
Dakiti,Bad Bunny & Jhay Cortez,,5,34,9,20,False,2021-01-09
Body,Megan Thee Stallion,,12,35,6,21,False,2021-01-09
What You Know Bout Love,Pop Smoke,,22,51,17,22,False,2021-01-09
Willow,Taylor Swift,,1,38,3,23,False,2021-01-09
Better Together,Luke Combs,,24,57,13,24,False,2021-01-09
Lonely,Justin Bieber & benny blanco,,14,53,11,25,False,2021-01-09
Rockstar,DaBaby Featuring Roddy Ricch,,1,0,36,26,False,2021-01-09
Whoopty,CJ,,27,52,8,27,False,2021-01-09
It's The Most Wonderful Time Of The Year,Andy Williams,,5,5,21,28,False,2021-01-09
Run Rudolph Run,Chuck Berry,,10,10,9,29,False,2021-01-09
Before You Go,Lewis Capaldi,,9,0,45,30,False,2021-01-09
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,,1,0,27,31,False,2021-01-09
Afterglow,Ed Sheeran,,32,59,2,32,False,2021-01-09
More Than My Hometown,Morgan Wallen,,15,0,27,33,False,2021-01-09
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",,2,0,46,34,False,2021-01-09
Starting Over,Chris Stapleton,,25,66,18,35,False,2021-01-09
WAP,Cardi B Featuring Megan Thee Stallion,,1,55,21,36,False,2021-01-09
I Should Probably Go To Bed,Dan + Shay,,37,0,21,37,False,2021-01-09
Good Days,SZA,,38,0,1,38,True,2021-01-09
Feliz Navidad,Jose Feliciano,,6,6,15,39,False,2021-01-09
Pretty Heart,Parker McCollum,,36,0,21,40,False,2021-01-09
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,,8,8,14,41,False,2021-01-09
Happy Anywhere,Blake Shelton Featuring Gwen Stefani,,36,0,21,42,False,2021-01-09
Holiday,Lil Nas X,,37,56,7,43,False,2021-01-09
The Christmas Song (Merry Christmas To You),Nat King Cole,,11,11,27,44,False,2021-01-09
Monster,Shawn Mendes & Justin Bieber,,8,64,6,45,False,2021-01-09
Diamonds,Sam Smith,,40,65,15,46,False,2021-01-09
Watermelon Sugar,Harry Styles,,1,0,38,47,False,2021-01-09
On Me,Lil Baby,,30,58,4,48,False,2021-01-09
Hawai,Maluma & The Weeknd,,12,63,19,49,False,2021-01-09
Underneath The Tree,Kelly Clarkson,,12,12,10,50,False,2021-01-09
You Broke Me First.,Tate McRae,,50,68,19,51,False,2021-01-09
Champagne Night,Lady A,,52,80,10,52,False,2021-01-09
Still Trappin',Lil Durk & King Von,,53,0,1,53,True,2021-01-09
"Big, Big Plans",Chris Lane,,42,71,13,54,False,2021-01-09
Forever After All,Luke Combs,,2,73,10,55,False,2021-01-09
My Ex's Best Friend,Machine Gun Kelly X blackbear,,28,69,20,56,False,2021-01-09
Cry Baby,Megan Thee Stallion Featuring DaBaby,,57,67,4,57,False,2021-01-09
Hole In The Bottle,Kelsea Ballerini,,58,96,11,58,False,2021-01-09
B.S.,Jhene Aiko Featuring H.E.R.,,24,0,21,59,False,2021-01-09
Love You Like I Used To,Russell Dickerson,,31,79,17,60,False,2021-01-09
Good Time,Niko Moon,,61,82,13,61,False,2021-01-09
Backdoor,Lil Durk,,62,93,2,62,False,2021-01-09
7 Summers,Morgan Wallen,,6,83,19,63,False,2021-01-09
Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,,10,72,13,64,False,2021-01-09
Without You,The Kid LAROI,,63,70,4,65,False,2021-01-09
Throat Baby (Go Baby),BRS Kash,,66,74,11,66,False,2021-01-09
Prisoner,Miley Cyrus Featuring Dua Lipa,,54,81,6,67,False,2021-01-09
Tyler Herro,Jack Harlow,,34,76,10,68,False,2021-01-09
You're Mines Still,Yung Bleu Featuring Drake,,52,85,4,69,False,2021-01-09
Hit Different,SZA Featuring Ty Dolla $ign,,29,90,16,70,False,2021-01-09
Redman,Lil Durk,,71,0,1,71,True,2021-01-09
Slay3r,Playboi Carti,,72,0,1,72,True,2021-01-09
Stay Down,"Lil Durk, 6LACK & Young Thug",,73,0,2,73,False,2021-01-09
Adderall (Corvette Corvette),Popp Hunna,,74,84,2,74,False,2021-01-09
Golden,Harry Styles,,74,95,10,75,False,2021-01-09
Beers And Sunshine,Darius Rucker,,76,0,3,76,False,2021-01-09
Back To The Streets,Saweetie Featuring Jhene Aiko,,76,87,6,77,False,2021-01-09
Damage,H.E.R.,,70,92,3,78,False,2021-01-09
Take You Dancing,Jason Derulo,,79,0,4,79,False,2021-01-09
What's Your Country Song,Thomas Rhett,,80,0,2,80,False,2021-01-09
Midnight Sky,Miley Cyrus,,14,0,18,81,False,2021-01-09
Go2DaMoon,Playboi Carti Featuring Kanye West,,82,0,1,82,True,2021-01-09
Ain't Always The Cowboy,Jon Pardi,,55,0,17,83,False,2021-01-09
Put Your Records On,Ritt Momney,,79,100,11,84,False,2021-01-09
Bichota,Karol G,,85,88,5,85,False,2021-01-09
Refugee,Lil Durk,,86,0,1,86,True,2021-01-09
Happy Does,Kenny Chesney,,85,0,7,87,False,2021-01-09
Monsters,All Time Low Featuring Demi Lovato & blackbear,,88,0,1,88,True,2021-01-09
Take Me Home For Christmas,Dan + Shay,,48,48,4,89,False,2021-01-09
Vamp Anthem,Playboi Carti,,90,0,1,90,True,2021-01-09
Down To One,Luke Bryan,,91,0,1,91,True,2021-01-09
New N3on,Playboi Carti,,92,0,1,92,True,2021-01-09
Death Ain't Easy,Lil Durk,,93,0,1,93,True,2021-01-09
Took Her To The O,King Von,,47,99,7,94,False,2021-01-09
Save Your Tears,The Weeknd & Ariana Grande,,41,0,3,95,False,2021-01-09
So Done,The Kid LAROI,,59,0,8,96,False,2021-01-09
Just The Way,Parmalee x Blanco Brown,,97,0,1,97,True,2021-01-09
Way Out,Jack Harlow Featuring Big Sean,,74,89,3,98,False,2021-01-09
M3tamorphosis,Playboi Carti Featuring Kid Cudi,,99,0,1,99,True,2021-01-09
The Good Ones,Gabby Barrett,,100,0,1,100,True,2021-01-09
