title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
What's Next,Drake,,1,0,1,1,True,2021-03-20
Wants And Needs,Drake Featuring Lil Baby,,2,0,1,2,True,2021-03-20
Lemon Pepper Freestyle,Drake Featuring Rick Ross,,3,0,1,3,True,2021-03-20
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),,4,0,1,4,True,2021-03-20
Drivers License,Olivia Rodrigo,,1,1,9,5,False,2021-03-20
Up,Cardi B,,2,2,5,6,False,2021-03-20
Save Your Tears,The Weeknd & Ariana Grande,,4,6,13,7,False,2021-03-20
Blinding Lights,The Weeknd,,1,3,66,8,False,2021-03-20
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,,2,4,19,9,False,2021-03-20
Mood,24kGoldn Featuring iann dior,,1,7,31,10,False,2021-03-20
Go Crazy,Chris Brown & Young Thug,,3,5,44,11,False,2021-03-20
What You Know Bout Love,Pop Smoke,,9,9,27,12,False,2021-03-20
Levitating,Dua Lipa,,5,10,23,13,False,2021-03-20
Calling My Phone,Lil Tjay Featuring 6LACK,,3,8,4,14,False,2021-03-20
Positions,Ariana Grande,,1,11,20,15,False,2021-03-20
Back In Blood,Pooh Shiesty Featuring Lil Durk,,13,13,10,16,False,2021-03-20
Therefore I Am,Billie Eilish,,2,12,18,17,False,2021-03-20
Streets,Doja Cat,,18,26,9,18,False,2021-03-20
Good Days,SZA,,9,23,11,19,False,2021-03-20
You Broke Me First.,Tate McRae,,17,17,29,20,False,2021-03-20
You're Mines Still,Yung Bleu Featuring Drake,,19,19,14,21,False,2021-03-20
Best Friend,Saweetie Featuring Doja Cat,,22,22,9,22,False,2021-03-20
Dakiti,Bad Bunny & Jhay Cortez,,5,16,19,23,False,2021-03-20
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,,6,14,36,24,False,2021-03-20
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,,15,15,8,25,False,2021-03-20
Hold On,Justin Bieber,,26,0,1,26,True,2021-03-20
On Me,Lil Baby,,23,25,14,27,False,2021-03-20
My Ex's Best Friend,Machine Gun Kelly X blackbear,,21,21,30,28,False,2021-03-20
Whoopty,CJ,,10,18,18,29,False,2021-03-20
What's Your Country Song,Thomas Rhett,,30,44,12,30,False,2021-03-20
Just The Way,Parmalee x Blanco Brown,,31,33,11,31,False,2021-03-20
The Good Ones,Gabby Barrett,,32,40,11,32,False,2021-03-20
Good Time,Niko Moon,,20,20,23,33,False,2021-03-20
Real As It Gets,Lil Baby Featuring EST Gee,,34,0,1,34,True,2021-03-20
Put Your Records On,Ritt Momney,,30,30,21,35,False,2021-03-20
Better Together,Luke Combs,,15,27,23,36,False,2021-03-20
Astronaut In The Ocean,Masked Wolf,,37,49,4,37,False,2021-03-20
Anyone,Justin Bieber,,6,31,10,38,False,2021-03-20
No More Parties,Coi Leray Featuring Lil Durk,,32,37,5,39,False,2021-03-20
Telepatia,Kali Uchis,,39,39,3,40,False,2021-03-20
Starting Over,Chris Stapleton,,25,48,28,41,False,2021-03-20
Willow,Taylor Swift,,1,32,13,42,False,2021-03-20
Dynamite,BTS,,1,43,29,43,False,2021-03-20
Without You,The Kid LAROI,,34,34,14,44,False,2021-03-20
Cry Baby,Megan Thee Stallion Featuring DaBaby,,28,42,14,45,False,2021-03-20
Throat Baby (Go Baby),BRS Kash,,24,28,21,46,False,2021-03-20
My Head And My Heart,Ava Max,,45,45,5,47,False,2021-03-20
Down To One,Luke Bryan,,36,36,11,48,False,2021-03-20
Holy,Justin Bieber Featuring Chance The Rapper,,3,29,25,49,False,2021-03-20
Damage,H.E.R.,,44,46,13,50,False,2021-03-20
Long Live,Florida Georgia Line,,48,52,10,51,False,2021-03-20
Heartbreak Anniversary,Giveon,,52,54,4,52,False,2021-03-20
Time Today,Moneybagg Yo,,37,50,5,53,False,2021-03-20
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,,54,0,1,54,True,2021-03-20
Lady,Brett Young,,55,60,9,55,False,2021-03-20
We're Good,Dua Lipa,,49,51,4,56,False,2021-03-20
Heat Waves,Glass Animals,,57,61,8,57,False,2021-03-20
Goosebumps,Travis Scott & HVME,,56,58,8,58,False,2021-03-20
Monsters,All Time Low Featuring Demi Lovato & blackbear,,55,55,11,59,False,2021-03-20
Track Star,Mooski,,60,66,3,60,False,2021-03-20
Buss It,Erica Banks,,47,57,9,61,False,2021-03-20
Momma's House,Dustin Lynch,,62,67,9,62,False,2021-03-20
Body,Megan Thee Stallion,,12,56,16,63,False,2021-03-20
Wasted On You,Morgan Wallen,,9,62,9,64,False,2021-03-20
Golden,Harry Styles,,57,59,20,65,False,2021-03-20
La Noche de Anoche,Bad Bunny & Rosalia,,53,63,7,66,False,2021-03-20
Forever After All,Luke Combs,,2,65,20,67,False,2021-03-20
Hell Of A View,Eric Church,,68,70,9,68,False,2021-03-20
Beers And Sunshine,Darius Rucker,,42,53,13,69,False,2021-03-20
Girl Like Me,Black Eyed Peas X Shakira,,67,69,9,70,False,2021-03-20
Somebody Like That,Tenille Arts,,71,73,8,71,False,2021-03-20
Sand In My Boots,Morgan Wallen,,32,68,9,72,False,2021-03-20
Masterpiece,DaBaby,,55,72,7,73,False,2021-03-20
Hellcats & Trackhawks,Lil Durk,,74,0,1,74,True,2021-03-20
You Got It,VEDO,,75,77,11,75,False,2021-03-20
One Too Many,Keith Urban Duet With P!nk,,62,75,13,76,False,2021-03-20
The Business,Tiesto,,77,81,3,77,False,2021-03-20
Almost Maybes,Jordan Davis,,78,84,7,78,False,2021-03-20
Quicksand,Morray,,79,83,5,79,False,2021-03-20
Made For You,Jake Owen,,80,88,3,80,False,2021-03-20
Lifestyle,Jason Derulo Featuring Adam Levine,,71,71,5,81,False,2021-03-20
Breaking Up Was Easy In The 90's,Sam Hunt,,82,92,2,82,False,2021-03-20
Bandido,Myke Towers & Juhn,,82,82,5,83,False,2021-03-20
Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,,84,85,3,84,False,2021-03-20
Pick Up Your Feelings,Jazmine Sullivan,,85,95,7,85,False,2021-03-20
Opp Stoppa,YBN Nahmir Featuring 21 Savage,,78,80,5,86,False,2021-03-20
Neighbors,Pooh Shiesty Featuring BIG30,,51,76,5,87,False,2021-03-20
Glad You Exist,Dan + Shay,,63,91,5,88,False,2021-03-20
Nobody,Dylan Scott,,89,96,2,89,False,2021-03-20
