title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Blinding Lights,The Weeknd,,1,1,18,1,False,2020-04-11
The Box,Roddy Ricch,,1,2,17,2,False,2020-04-11
Don't Start Now,Dua Lipa,,2,3,22,3,False,2020-04-11
Circles,Post Malone,,1,5,31,4,False,2020-04-11
Life Is Good,Future Featuring Drake,,2,6,12,5,False,2020-04-11
Adore You,Harry Styles,,6,7,17,6,False,2020-04-11
Say So,Doja Cat Featuring Nicki Minaj,,7,9,13,7,False,2020-04-11
Intentions,Justin Bieber Featuring Quavo,,8,8,8,8,False,2020-04-11
Everything I Wanted,Billie Eilish,,8,12,21,9,False,2020-04-11
Someone You Loved,Lewis Capaldi,,1,11,47,10,False,2020-04-11
Roxanne,Arizona Zervas,,4,10,22,11,False,2020-04-11
Heartless,The Weeknd,,1,4,19,12,False,2020-04-11
Memories,Maroon 5,,2,14,28,13,False,2020-04-11
The Bones,Maren Morris,,14,17,28,14,False,2020-04-11
My Oh My,Camila Cabello Featuring DaBaby,,15,18,17,15,False,2020-04-11
Hot Girl Bummer,blackbear,,11,13,29,16,False,2020-04-11
Turks,"NAV, Gunna & Travis Scott",,17,0,1,17,True,2020-04-11
Savage,Megan Thee Stallion,,18,20,3,18,False,2020-04-11
Blueberry Faygo,Lil Mosey,,19,37,8,19,False,2020-04-11
Dance Monkey,Tones And I,,4,15,26,20,False,2020-04-11
Break My Heart,Dua Lipa,,21,0,1,21,True,2020-04-11
I Hope,Gabby Barrett Featuring Charlie Puth,,22,30,14,22,False,2020-04-11
Believe It,PARTYNEXTDOOR & Rihanna,,23,0,1,23,True,2020-04-11
Ballin',Mustard & Roddy Ricch,,11,23,37,24,False,2020-04-11
Falling,Trevor Daniel,,25,29,20,25,False,2020-04-11
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,,26,26,19,26,False,2020-04-11
Stupid Love,Lady Gaga,,5,27,5,27,False,2020-04-11
"10,000 Hours",Dan + Shay & Justin Bieber,,4,19,26,28,False,2020-04-11
BOP,DaBaby,,11,31,27,29,False,2020-04-11
Heart On Ice,Rod Wave,,30,43,21,30,False,2020-04-11
High Fashion,Roddy Ricch Featuring Mustard,,20,36,14,31,False,2020-04-11
Nobody But You,Blake Shelton Duet With Gwen Stefani,,32,44,12,32,False,2020-04-11
Suicidal,YNW Melly & Juice WRLD,,20,35,18,33,False,2020-04-11
You Should Be Sad,Halsey,,26,33,12,34,False,2020-04-11
No Guidance,Chris Brown Featuring Drake,,5,34,43,35,False,2020-04-11
Chasin' You,Morgan Wallen,,36,53,10,36,False,2020-04-11
Slow Dance In A Parking Lot,Jordan Davis,,37,49,13,37,False,2020-04-11
Homesick,Kane Brown,,35,40,20,38,False,2020-04-11
Roses,SAINt JHN,,39,55,2,39,False,2020-04-11
Catch,Brett Young,,40,61,10,40,False,2020-04-11
I Love Me,Demi Lovato,,18,48,4,41,False,2020-04-11
In Your Eyes,The Weeknd,,16,16,2,42,False,2020-04-11
Death Bed,Powfu Featuring beabadoobee,,43,59,3,43,False,2020-04-11
More Hearts Than Mine,Ingrid Andress,,44,56,14,44,False,2020-04-11
Slide,H.E.R. Featuring YG,,45,51,15,45,False,2020-04-11
Woah,Lil Baby,,15,42,21,46,False,2020-04-11
Godzilla,Eminem Featuring Juice WRLD,,3,38,11,47,False,2020-04-11
BEST ON EARTH,Russ & BIA,,46,52,17,48,False,2020-04-11
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",,48,57,8,49,False,2020-04-11
What She Wants Tonight,Luke Bryan,,46,46,15,50,False,2020-04-11
Homemade,Jake Owen,,39,50,10,51,False,2020-04-11
Sunday Best,Surfaces,,52,62,5,52,False,2020-04-11
Yo Perreo Sola,Bad Bunny,,53,0,3,53,False,2020-04-11
Dior,Pop Smoke,,30,58,7,54,False,2020-04-11
Sum 2 Prove,Lil Baby,,16,60,12,55,False,2020-04-11
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,,56,68,3,56,False,2020-04-11
Walk Em Down,NLE Choppa Featuring Roddy Ricch,,57,94,2,57,False,2020-04-11
I Hope You're Happy Now,Carly Pearce & Lee Brice,,58,64,13,58,False,2020-04-11
Does To Me,Luke Combs Featuring Eric Church,,59,63,3,59,False,2020-04-11
Loyal,PARTYNEXTDOOR Featuring Drake,,60,0,3,60,False,2020-04-11
After Hours,The Weeknd,,20,22,6,61,False,2020-04-11
