title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Willow,Taylor Swift,,1,0,1,1,True,2020-12-26
All I Want For Christmas Is You,Mariah Carey,,1,1,42,2,False,2020-12-26
Rockin' Around The Christmas Tree,Brenda Lee,,2,3,37,3,False,2020-12-26
Jingle Bell Rock,Bobby Helms,,3,5,34,4,False,2020-12-26
Mood,24kGoldn Featuring iann dior,,1,2,19,5,False,2020-12-26
A Holly Jolly Christmas,Burl Ives,,4,14,18,6,False,2020-12-26
It's The Most Wonderful Time Of The Year,Andy Williams,,6,6,19,7,False,2020-12-26
Positions,Ariana Grande,,1,4,8,8,False,2020-12-26
Dynamite,BTS,,1,24,17,9,False,2020-12-26
Feliz Navidad,Jose Feliciano,,10,10,13,10,False,2020-12-26
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,,11,15,12,11,False,2020-12-26
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,,12,35,7,12,False,2020-12-26
Holy,Justin Bieber Featuring Chance The Rapper,,3,9,13,13,False,2020-12-26
Last Christmas,Wham!,,11,11,18,14,False,2020-12-26
The Christmas Song (Merry Christmas To You),Nat King Cole,,11,16,25,15,False,2020-12-26
Go Crazy,Chris Brown & Young Thug,,9,13,32,16,False,2020-12-26
Laugh Now Cry Later,Drake Featuring Lil Durk,,2,8,18,17,False,2020-12-26
Blinding Lights,The Weeknd,,1,7,55,18,False,2020-12-26
Sleigh Ride,The Ronettes,,19,20,10,19,False,2020-12-26
I Hope,Gabby Barrett Featuring Charlie Puth,,3,12,51,20,False,2020-12-26
Champagne Problems,Taylor Swift,,21,0,1,21,True,2020-12-26
Body,Megan Thee Stallion,,12,18,4,22,False,2020-12-26
Dakiti,Bad Bunny & Jhay Cortez,,5,17,7,23,False,2020-12-26
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,,6,19,18,24,False,2020-12-26
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,,6,21,24,25,False,2020-12-26
Happy Holiday / The Holiday Season,Andy Williams,,24,29,7,26,False,2020-12-26
Levitating,Dua Lipa,,20,27,11,27,False,2020-12-26
Underneath The Tree,Kelly Clarkson,,25,25,8,28,False,2020-12-26
Run Rudolph Run,Chuck Berry,,29,40,7,29,False,2020-12-26
Kings & Queens,Ava Max,,13,22,19,30,False,2020-12-26
Rudolph The Red-Nosed Reindeer,Gene Autry,,16,34,11,31,False,2020-12-26
Santa Tell Me,Ariana Grande,,32,39,7,32,False,2020-12-26
Bang!,AJR,,24,28,24,33,False,2020-12-26
"No Body, No Crime",Taylor Swift Featuring HAIM,,34,0,1,34,True,2020-12-26
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,,8,26,7,35,False,2020-12-26
Therefore I Am,Billie Eilish,,2,23,6,36,False,2020-12-26
Christmas (Baby Please Come Home),Darlene Love,,29,31,6,37,False,2020-12-26
White Christmas,Bing Crosby,,12,32,19,38,False,2020-12-26
'Tis The Damn Season,Taylor Swift,,39,0,1,39,True,2020-12-26
Gold Rush,Taylor Swift,,40,0,1,40,True,2020-12-26
Tequila Shots,Kid Cudi,,41,0,1,41,True,2020-12-26
It's Beginning To Look A Lot Like Christmas,Michael Buble,,33,33,4,42,False,2020-12-26
(There's No Place Like) Home For The Holidays,Perry Como,,32,37,6,43,False,2020-12-26
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",,2,47,45,44,False,2020-12-26
Tolerate It,Taylor Swift,,45,0,1,45,True,2020-12-26
Wonderful Christmastime,Paul McCartney,,45,45,3,46,False,2020-12-26
Deck The Halls,Nat King Cole,,47,0,1,47,True,2020-12-26
What You Know Bout Love,Pop Smoke,,25,46,15,48,False,2020-12-26
She Knows This,Kid Cudi,,49,0,1,49,True,2020-12-26
Rockstar,DaBaby Featuring Roddy Ricch,,1,42,35,50,False,2020-12-26
Lonely,Justin Bieber & benny blanco,,14,50,9,51,False,2020-12-26
Happiness,Taylor Swift,,52,0,1,52,True,2020-12-26
Whoopty,CJ,,51,51,6,53,False,2020-12-26
Show Out,"Kid Cudi, Skepta & Pop Smoke",,54,0,1,54,True,2020-12-26
WAP,Cardi B Featuring Megan Thee Stallion,,1,43,19,55,False,2020-12-26
Holiday,Lil Nas X,,37,48,5,56,False,2020-12-26
Evermore,Taylor Swift Featuring Bon Iver,,57,0,1,57,True,2020-12-26
Take Me Home For Christmas,Dan + Shay,,58,88,2,58,False,2020-12-26
Better Together,Luke Combs,,30,54,11,59,False,2020-12-26
On Me,Lil Baby,,30,30,2,60,False,2020-12-26
Ivy,Taylor Swift,,61,0,1,61,True,2020-12-26
Monster,Shawn Mendes & Justin Bieber,,8,38,4,62,False,2020-12-26
Coney Island,Taylor Swift Featuring The National,,63,0,1,63,True,2020-12-26
Another Day,Kid Cudi,,64,0,1,64,True,2020-12-26
Hawai,Maluma & The Weeknd,,12,55,17,65,False,2020-12-26
Diamonds,Sam Smith,,40,53,13,66,False,2020-12-26
Dorothea,Taylor Swift,,67,0,1,67,True,2020-12-26
Long Story Short,Taylor Swift,,68,0,1,68,True,2020-12-26
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,,28,36,9,69,False,2020-12-26
I Should Probably Go To Bed,Dan + Shay,,42,60,20,70,False,2020-12-26
Cowboy Like Me,Taylor Swift,,71,0,1,71,True,2020-12-26
Starting Over,Chris Stapleton,,25,58,16,72,False,2020-12-26
"Big, Big Plans",Chris Lane,,42,52,11,73,False,2020-12-26
Way Out,Jack Harlow Featuring Big Sean,,74,0,1,74,True,2020-12-26
Marjorie,Taylor Swift,,75,0,1,75,True,2020-12-26
B.S.,Jhene Aiko Featuring H.E.R.,,24,62,20,76,False,2020-12-26
Tyler Herro,Jack Harlow,,34,77,8,77,False,2020-12-26
