title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Industry Baby,Lil Nas X & Jack Harlow,,1,2,12,1,False,2021-10-23
Stay,The Kid LAROI & Justin Bieber,,1,1,14,2,False,2021-10-23
Fancy Like,Walker Hayes,,3,3,17,3,False,2021-10-23
Bad Habits,Ed Sheeran,,2,5,16,4,False,2021-10-23
Way 2 Sexy,Drake Featuring Future & Young Thug,,1,4,6,5,False,2021-10-23
Good 4 U,Olivia Rodrigo,,1,6,22,6,False,2021-10-23
Kiss Me More,Doja Cat Featuring SZA,,3,7,27,7,False,2021-10-23
Levitating,Dua Lipa,,2,8,54,8,False,2021-10-23
Essence,Wizkid Featuring Justin Bieber & Tems,,9,10,15,9,False,2021-10-23
Shivers,Ed Sheeran,,10,11,5,10,False,2021-10-23
Need To Know,Doja Cat,,11,13,18,11,False,2021-10-23
Heat Waves,Glass Animals,,12,15,39,12,False,2021-10-23
Save Your Tears,The Weeknd & Ariana Grande,,1,14,44,13,False,2021-10-23
Knife Talk,Drake Featuring 21 Savage & Project Pat,,4,9,6,14,False,2021-10-23
Beggin',Maneskin,,15,16,16,15,False,2021-10-23
You Right,Doja Cat & The Weeknd,,11,18,16,16,False,2021-10-23
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",,17,0,1,17,True,2021-10-23
My Universe,Coldplay x BTS,,1,12,3,18,False,2021-10-23
If I Didn't Love You,Jason Aldean & Carrie Underwood,,15,19,12,19,False,2021-10-23
Montero (Call Me By Your Name),Lil Nas X,,1,17,29,20,False,2021-10-23
Traitor,Olivia Rodrigo,,9,21,21,21,False,2021-10-23
Girls Want Girls,Drake Featuring Lil Baby,,2,20,6,22,False,2021-10-23
Chasing After You,Ryan Hurd With Maren Morris,,23,24,24,23,False,2021-10-23
Take My Breath,The Weeknd,,6,22,10,24,False,2021-10-23
Cold Heart (PNAU Remix),Elton John & Dua Lipa,,25,32,6,25,False,2021-10-23
Thats What I Want,Lil Nas X,,10,26,4,26,False,2021-10-23
Pepas,Farruko,,25,25,12,27,False,2021-10-23
My Boy,Elvie Shane,,28,42,16,28,False,2021-10-23
Wockesha,Moneybagg Yo,,20,27,25,29,False,2021-10-23
Happier Than Ever,Billie Eilish,,11,29,11,30,False,2021-10-23
Love Nwantiti (Ah Ah Ah),CKay,,31,35,4,31,False,2021-10-23
Ghost,Justin Bieber,,32,93,3,32,False,2021-10-23
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,,26,28,15,33,False,2021-10-23
A-O-K,Tai Verdes,,34,34,15,34,False,2021-10-23
Memory I Don't Mess With,Lee Brice,,33,33,12,35,False,2021-10-23
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,,22,23,7,36,False,2021-10-23
I Was On A Boat That Day,Old Dominion,,37,45,15,37,False,2021-10-23
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),,1,37,32,38,False,2021-10-23
Fair Trade,Drake Featuring Travis Scott,,3,30,6,39,False,2021-10-23
Buy Dirt,Jordan Davis Featuring Luke Bryan,,40,43,10,40,False,2021-10-23
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,,1,39,30,41,False,2021-10-23
Deja Vu,Olivia Rodrigo,,3,31,28,42,False,2021-10-23
You Should Probably Leave,Chris Stapleton,,43,51,15,43,False,2021-10-23
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,,44,47,5,44,False,2021-10-23
Cold As You,Luke Combs,,45,53,11,45,False,2021-10-23
Gyalis,Capella Grey,,38,38,11,46,False,2021-10-23
Love Again,Dua Lipa,,41,41,13,47,False,2021-10-23
Leave Before You Love Me,Marshmello X Jonas Brothers,,19,40,21,48,False,2021-10-23
Family Ties,Baby Keem & Kendrick Lamar,,18,46,7,49,False,2021-10-23
Hurricane,Kanye West,,6,44,7,50,False,2021-10-23
Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",,51,0,1,51,True,2021-10-23
Wild Side,Normani Featuring Cardi B,,14,48,13,52,False,2021-10-23
Flocky Flocky,Don Toliver Featuring Travis Scott,,53,0,1,53,True,2021-10-23
Have Mercy,Chloe,,28,50,5,54,False,2021-10-23
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,,55,57,9,55,False,2021-10-23
Baddest,"Yung Bleu, Chris Brown & 2 Chainz",,56,56,11,56,False,2021-10-23
Late At Night,Roddy Ricch,,20,49,19,57,False,2021-10-23
2055,Sleepy Hallow,,51,63,13,58,False,2021-10-23
Whole Lotta Money,BIA Featuring Nicki Minaj,,16,52,14,59,False,2021-10-23
Memory,Kane Brown X blackbear,,50,68,14,60,False,2021-10-23
Esta Danada,Ivan Cornejo,,61,96,2,61,False,2021-10-23
Knowing You,Kenny Chesney,,62,67,9,62,False,2021-10-23
Woman,Doja Cat,,62,62,11,63,False,2021-10-23
Same Boat,Zac Brown Band,,64,77,4,64,False,2021-10-23
Chosen,Blxst & Tyga Featuring Ty Dolla $ign,,65,80,3,65,False,2021-10-23
Too Easy,Gunna & Future,,38,59,3,66,False,2021-10-23
Volvi,Aventura x Bad Bunny,,22,73,11,67,False,2021-10-23
Easy On Me,Adele,,68,0,1,68,True,2021-10-23
Jugaste y Sufri,Eslabon Armado Featuring DannyLux,,69,75,2,69,False,2021-10-23
Todo de Ti,Rauw Alejandro,,32,74,20,70,False,2021-10-23
Thot Shit,Megan Thee Stallion,,16,70,18,71,False,2021-10-23
Sand In My Boots,Morgan Wallen,,32,94,13,72,False,2021-10-23
Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,,24,71,20,73,False,2021-10-23
No Friends In The Industry,Drake,,11,64,6,74,False,2021-10-23
WFM,RealestK,,75,0,1,75,True,2021-10-23
Yonaguni,Bad Bunny,,10,82,19,76,False,2021-10-23
Champagne Poetry,Drake,,4,65,6,77,False,2021-10-23
One Mississippi,Kane Brown,,73,92,3,78,False,2021-10-23
Get Into It (Yuh),Doja Cat,,68,85,10,79,False,2021-10-23
You Time,Scotty McCreery,,50,54,11,80,False,2021-10-23
Your Heart,Joyner Lucas & J. Cole,,32,61,3,81,False,2021-10-23
Whiskey And Rain,Michael Ray,,82,97,2,82,False,2021-10-23
In The Bible,Drake Featuring Lil Durk & Giveon,,7,79,6,83,False,2021-10-23
Summer Of Love,Shawn Mendes & Tainy,,48,84,8,84,False,2021-10-23
Maybach,42 Dugg Featuring Future,,68,0,3,85,False,2021-10-23
Tequila Little Time,Jon Pardi,,86,0,1,86,True,2021-10-23
Waves,Luke Bryan,,24,87,17,87,False,2021-10-23
Freedom Was A Highway,Jimmie Allen & Brad Paisley,,88,0,1,88,True,2021-10-23
Nevada,YoungBoy Never Broke Again,,58,86,3,89,False,2021-10-23
Like A Lady,Lady A,,90,0,1,90,True,2021-10-23
Life Goes On,Oliver Tree,,91,0,1,91,True,2021-10-23
Woo Baby,Pop Smoke Featuring Chris Brown,,64,0,2,92,False,2021-10-23
Life Support,YoungBoy Never Broke Again,,48,88,5,93,False,2021-10-23
'Til You Can't,Cody Johnson,,94,0,1,94,True,2021-10-23
Who's In Your Head,Jonas Brothers,,95,0,1,95,True,2021-10-23
Ain't Shit,Doja Cat,,24,0,13,96,False,2021-10-23
Just About Over You,Priscilla Block,,97,0,1,97,True,2021-10-23
