title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Rain On Me,Lady Gaga & Ariana Grande,,1,0,1,1,True,2020-06-06
Savage,Megan Thee Stallion,,1,1,11,2,False,2020-06-06
Rockstar,DaBaby Featuring Roddy Ricch,,3,4,6,3,False,2020-06-06
Blinding Lights,The Weeknd,,1,3,26,4,False,2020-06-06
Say So,Doja Cat Featuring Nicki Minaj,,1,2,21,5,False,2020-06-06
Toosie Slide,Drake,,1,5,8,6,False,2020-06-06
Don't Start Now,Dua Lipa,,2,8,30,7,False,2020-06-06
The Box,Roddy Ricch,,1,7,25,8,False,2020-06-06
Intentions,Justin Bieber Featuring Quavo,,8,9,16,9,False,2020-06-06
Life Is Good,Future Featuring Drake,,2,6,20,10,False,2020-06-06
Circles,Post Malone,,1,10,39,11,False,2020-06-06
Adore You,Harry Styles,,6,12,25,12,False,2020-06-06
The Bones,Maren Morris,,12,14,36,13,False,2020-06-06
Roses,SAINt JHN,,14,15,10,14,False,2020-06-06
Stuck With U,Ariana Grande & Justin Bieber,,1,13,3,15,False,2020-06-06
Blueberry Faygo,Lil Mosey,,16,17,16,16,False,2020-06-06
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",,1,16,5,17,False,2020-06-06
Chasin' You,Morgan Wallen,,18,18,18,18,False,2020-06-06
I Hope,Gabby Barrett Featuring Charlie Puth,,16,19,22,19,False,2020-06-06
Does To Me,Luke Combs Featuring Eric Church,,20,22,11,20,False,2020-06-06
Falling,Trevor Daniel,,21,21,28,21,False,2020-06-06
Gooba,6ix9ine,,3,11,3,22,False,2020-06-06
High Fashion,Roddy Ricch Featuring Mustard,,20,24,22,23,False,2020-06-06
Sunday Best,Surfaces,,24,26,13,24,False,2020-06-06
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",,25,28,16,25,False,2020-06-06
Death Bed,Powfu Featuring beabadoobee,,26,29,11,26,False,2020-06-06
Party Girl,StaySolidRocky,,27,38,5,27,False,2020-06-06
Nobody But You,Blake Shelton Duet With Gwen Stefani,,18,23,20,28,False,2020-06-06
I Hope You're Happy Now,Carly Pearce & Lee Brice,,29,35,21,29,False,2020-06-06
Before You Go,Lewis Capaldi,,30,36,17,30,False,2020-06-06
My Oh My,Camila Cabello Featuring DaBaby,,12,25,25,31,False,2020-06-06
In Your Eyes,The Weeknd,,16,58,10,32,False,2020-06-06
After A Few,Travis Denning,,33,37,9,33,False,2020-06-06
Break My Heart,Dua Lipa,,21,39,9,34,False,2020-06-06
Everything I Wanted,Billie Eilish,,8,27,29,35,False,2020-06-06
Memories,Maroon 5,,2,31,36,36,False,2020-06-06
