title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
My Universe,Coldplay x BTS,,1,0,1,1,True,2021-10-09
Stay,The Kid LAROI & Justin Bieber,,1,1,12,2,False,2021-10-09
Industry Baby,Lil Nas X & Jack Harlow,,2,2,10,3,False,2021-10-09
Way 2 Sexy,Drake Featuring Future & Young Thug,,1,3,4,4,False,2021-10-09
Fancy Like,Walker Hayes,,5,5,15,5,False,2021-10-09
Bad Habits,Ed Sheeran,,2,4,14,6,False,2021-10-09
Good 4 U,Olivia Rodrigo,,1,6,20,7,False,2021-10-09
Kiss Me More,Doja Cat Featuring SZA,,3,7,25,8,False,2021-10-09
Knife Talk,Drake Featuring 21 Savage & Project Pat,,4,8,4,9,False,2021-10-09
Levitating,Dua Lipa,,2,11,52,10,False,2021-10-09
Essence,Wizkid Featuring Justin Bieber & Tems,,11,14,13,11,False,2021-10-09
Save Your Tears,The Weeknd & Ariana Grande,,1,12,42,12,False,2021-10-09
Montero (Call Me By Your Name),Lil Nas X,,1,9,27,13,False,2021-10-09
Shivers,Ed Sheeran,,14,17,3,14,False,2021-10-09
Heat Waves,Glass Animals,,15,16,37,15,False,2021-10-09
Need To Know,Doja Cat,,14,18,16,16,False,2021-10-09
Girls Want Girls,Drake Featuring Lil Baby,,2,13,4,17,False,2021-10-09
You Right,Doja Cat & The Weeknd,,11,19,14,18,False,2021-10-09
Beggin',Maneskin,,19,20,14,19,False,2021-10-09
Wockesha,Moneybagg Yo,,20,35,23,20,False,2021-10-09
If I Didn't Love You,Jason Aldean & Carrie Underwood,,15,22,10,21,False,2021-10-09
Take My Breath,The Weeknd,,6,21,8,22,False,2021-10-09
Fair Trade,Drake Featuring Travis Scott,,3,15,4,23,False,2021-10-09
Thats What I Want,Lil Nas X,,10,10,2,24,False,2021-10-09
Traitor,Olivia Rodrigo,,9,25,19,25,False,2021-10-09
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,,26,29,13,26,False,2021-10-09
Chasing After You,Ryan Hurd With Maren Morris,,27,32,22,27,False,2021-10-09
Bad Morning,YoungBoy Never Broke Again,,28,0,1,28,True,2021-10-09
Pepas,Farruko,,26,27,10,29,False,2021-10-09
Deja Vu,Olivia Rodrigo,,3,23,26,30,False,2021-10-09
Happier Than Ever,Billie Eilish,,11,28,9,31,False,2021-10-09
Your Heart,Joyner Lucas & J. Cole,,32,0,1,32,True,2021-10-09
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),,1,33,30,33,False,2021-10-09
Hurricane,Kanye West,,6,31,5,34,False,2021-10-09
A-O-K,Tai Verdes,,35,39,13,35,False,2021-10-09
Butter,BTS,,1,24,19,36,False,2021-10-09
On My Side,YoungBoy Never Broke Again,,37,71,2,37,False,2021-10-09
Too Easy,Gunna & Future,,38,0,1,38,True,2021-10-09
Leave Before You Love Me,Marshmello X Jonas Brothers,,19,26,19,39,False,2021-10-09
No Where,YoungBoy Never Broke Again,,40,0,1,40,True,2021-10-09
