title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
WAP,Cardi B Featuring Megan Thee Stallion,,1,2,5,1,False,2020-09-19
Dynamite,BTS,,1,1,3,2,False,2020-09-19
Laugh Now Cry Later,Drake Featuring Lil Durk,,2,3,4,3,False,2020-09-19
Rockstar,DaBaby Featuring Roddy Ricch,,1,4,21,4,False,2020-09-19
Blinding Lights,The Weeknd,,1,5,41,5,False,2020-09-19
Mood,24kGoldn Featuring iann dior,,6,8,5,6,False,2020-09-19
Watermelon Sugar,Harry Styles,,1,6,25,7,False,2020-09-19
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",,2,7,31,8,False,2020-09-19
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,,7,9,13,9,False,2020-09-19
Popstar,DJ Khaled Featuring Drake,,3,24,8,10,False,2020-09-19
Before You Go,Lewis Capaldi,,10,10,32,11,False,2020-09-19
I Hope,Gabby Barrett Featuring Charlie Puth,,10,12,37,12,False,2020-09-19
Roses,SAINt JHN,,4,11,25,13,False,2020-09-19
Go Crazy,Chris Brown & Young Thug,,9,14,18,14,False,2020-09-19
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,,6,17,10,15,False,2020-09-19
Circles,Post Malone,,1,15,54,16,False,2020-09-19
Break My Heart,Dua Lipa,,13,16,24,17,False,2020-09-19
Adore You,Harry Styles,,6,18,40,18,False,2020-09-19
Come & Go,Juice WRLD x Marshmello,,2,19,9,19,False,2020-09-19
Tap In,Saweetie,,20,21,9,20,False,2020-09-19
Mood Swings,Pop Smoke Featuring Lil Tjay,,17,20,10,21,False,2020-09-19
One Of Them Girls,Lee Brice,,22,33,15,22,False,2020-09-19
Lovin' On You,Luke Combs,,23,26,11,23,False,2020-09-19
Be Like That,Kane Brown With Swae Lee & Khalid,,22,22,9,24,False,2020-09-19
Don't Start Now,Dua Lipa,,2,23,45,25,False,2020-09-19
Got What I Got,Jason Aldean,,26,31,15,26,False,2020-09-19
The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,,11,29,10,27,False,2020-09-19
The Bones,Maren Morris,,12,28,51,28,False,2020-09-19
Hit Different,SZA Featuring Ty Dolla $ign,,29,0,1,29,True,2020-09-19
If The World Was Ending,JP Saxe Featuring Julia Michaels,,27,27,24,30,False,2020-09-19
Die From A Broken Heart,Maddie & Tae,,22,25,22,31,False,2020-09-19
Savage,Megan Thee Stallion,,1,30,26,32,False,2020-09-19
Life Is Good,Future Featuring Drake,,2,39,35,33,False,2020-09-19
Midnight Sky,Miley Cyrus,,14,37,4,34,False,2020-09-19
Rags2Riches,Rod Wave Featuring ATR Son Son,,12,32,11,35,False,2020-09-19
Cool Again,Kane Brown,,36,41,15,36,False,2020-09-19
Rain On Me,Lady Gaga & Ariana Grande,,1,34,16,37,False,2020-09-19
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,,38,54,4,38,False,2020-09-19
Death Bed,Powfu Featuring beabadoobee,,23,36,26,39,False,2020-09-19
Say So,Doja Cat Featuring Nicki Minaj,,1,46,36,40,False,2020-09-19
Blueberry Faygo,Lil Mosey,,8,35,31,41,False,2020-09-19
Chasin' You,Morgan Wallen,,16,47,33,42,False,2020-09-19
Wishing Well,Juice WRLD,,5,40,9,43,False,2020-09-19
Nobody's Love,Maroon 5,,41,48,7,44,False,2020-09-19
