title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Butter,BTS,,1,1,6,1,False,2021-07-10
Good 4 U,Olivia Rodrigo,,1,2,7,2,False,2021-07-10
Kiss Me More,Doja Cat Featuring SZA,,3,4,12,3,False,2021-07-10
Levitating,Dua Lipa,,2,3,39,4,False,2021-07-10
Bad Habits,Ed Sheeran,,5,0,1,5,True,2021-07-10
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),,1,6,17,6,False,2021-07-10
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,,1,5,15,7,False,2021-07-10
Montero (Call Me By Your Name),Lil Nas X,,1,8,14,8,False,2021-07-10
Save Your Tears,The Weeknd & Ariana Grande,,1,7,29,9,False,2021-07-10
Deja Vu,Olivia Rodrigo,,3,9,13,10,False,2021-07-10
You Right,Doja Cat & The Weeknd,,11,0,1,11,True,2021-07-10
Astronaut In The Ocean,Masked Wolf,,6,10,20,12,False,2021-07-10
Rapstar,Polo G,,1,11,12,13,False,2021-07-10
WUSYANAME,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",,14,0,1,14,True,2021-07-10
Without You,The Kid LAROI,,8,14,30,15,False,2021-07-10
Thot Shit,Megan Thee Stallion,,16,17,3,16,False,2021-07-10
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,,13,13,17,17,False,2021-07-10
Blinding Lights,The Weeknd,,1,15,82,18,False,2021-07-10
Forever After All,Luke Combs,,2,12,36,19,False,2021-07-10
Heartbreak Anniversary,Giveon,,16,16,20,20,False,2021-07-10
Famous Friends,Chris Young + Kane Brown,,21,21,14,21,False,2021-07-10
Best Friend,Saweetie Featuring Doja Cat,,14,18,25,22,False,2021-07-10
Lil Bit,Nelly & Florida Georgia Line,,23,24,15,23,False,2021-07-10
Ain't Shit,Doja Cat,,24,0,1,24,True,2021-07-10
Heat Waves,Glass Animals,,19,19,24,25,False,2021-07-10
Wants And Needs,Drake Featuring Lil Baby,,2,20,17,26,False,2021-07-10
Yonaguni,Bad Bunny,,10,22,4,27,False,2021-07-10
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,,20,30,9,28,False,2021-07-10
Drivers License,Olivia Rodrigo,,1,23,25,29,False,2021-07-10
Telepatia,Kali Uchis,,25,25,19,30,False,2021-07-10
Leave Before You Love Me,Marshmello X Jonas Brothers,,31,37,6,31,False,2021-07-10
Todo de Ti,Rauw Alejandro,,32,36,5,32,False,2021-07-10
Late At Night,Roddy Ricch,,20,32,4,33,False,2021-07-10
Fancy Like,Walker Hayes,,34,51,2,34,False,2021-07-10
Blame It On You,Jason Aldean,,34,34,10,35,False,2021-07-10
pov,Ariana Grande,,27,27,17,36,False,2021-07-10
Mood,24kGoldn Featuring iann dior,,1,29,47,37,False,2021-07-10
Gone,Dierks Bentley,,26,26,16,38,False,2021-07-10
Traitor,Olivia Rodrigo,,9,28,6,39,False,2021-07-10
Juggernaut,"Tyler, The Creator Featuring Lil Uzi Vert & Pharrell Williams",,40,0,1,40,True,2021-07-10
AM,Nio Garcia X J Balvin X Bad Bunny,,41,0,1,41,True,2021-07-10
Lemonhead,"Tyler, The Creator Featuring 42 Dugg",,42,0,1,42,True,2021-07-10
My Ex's Best Friend,Machine Gun Kelly X blackbear,,20,33,46,43,False,2021-07-10
Wockesha,Moneybagg Yo,,33,35,10,44,False,2021-07-10
Lumberjack,"Tyler, The Creator",,45,93,2,45,False,2021-07-10
