title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Stay,The Kid LAROI & Justin Bieber,,1,2,13,1,False,2021-10-16
Industry Baby,Lil Nas X & Jack Harlow,,2,3,11,2,False,2021-10-16
Fancy Like,Walker Hayes,,3,5,16,3,False,2021-10-16
Way 2 Sexy,Drake Featuring Future & Young Thug,,1,4,5,4,False,2021-10-16
Bad Habits,Ed Sheeran,,2,6,15,5,False,2021-10-16
Good 4 U,Olivia Rodrigo,,1,7,21,6,False,2021-10-16
Kiss Me More,Doja Cat Featuring SZA,,3,8,26,7,False,2021-10-16
Levitating,Dua Lipa,,2,10,53,8,False,2021-10-16
Knife Talk,Drake Featuring 21 Savage & Project Pat,,4,9,5,9,False,2021-10-16
Essence,Wizkid Featuring Justin Bieber & Tems,,10,11,14,10,False,2021-10-16
Shivers,Ed Sheeran,,11,14,4,11,False,2021-10-16
My Universe,Coldplay x BTS,,1,1,2,12,False,2021-10-16
Need To Know,Doja Cat,,13,16,17,13,False,2021-10-16
Save Your Tears,The Weeknd & Ariana Grande,,1,12,43,14,False,2021-10-16
Heat Waves,Glass Animals,,15,15,38,15,False,2021-10-16
Beggin',Maneskin,,16,19,15,16,False,2021-10-16
Montero (Call Me By Your Name),Lil Nas X,,1,13,28,17,False,2021-10-16
You Right,Doja Cat & The Weeknd,,11,18,15,18,False,2021-10-16
If I Didn't Love You,Jason Aldean & Carrie Underwood,,15,21,11,19,False,2021-10-16
Girls Want Girls,Drake Featuring Lil Baby,,2,17,5,20,False,2021-10-16
Traitor,Olivia Rodrigo,,9,25,20,21,False,2021-10-16
Take My Breath,The Weeknd,,6,22,9,22,False,2021-10-16
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,,22,71,6,23,False,2021-10-16
Chasing After You,Ryan Hurd With Maren Morris,,24,27,23,24,False,2021-10-16
Pepas,Farruko,,25,29,11,25,False,2021-10-16
Thats What I Want,Lil Nas X,,10,24,3,26,False,2021-10-16
Wockesha,Moneybagg Yo,,20,20,24,27,False,2021-10-16
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,,26,26,14,28,False,2021-10-16
Happier Than Ever,Billie Eilish,,11,31,10,29,False,2021-10-16
Fair Trade,Drake Featuring Travis Scott,,3,23,5,30,False,2021-10-16
Deja Vu,Olivia Rodrigo,,3,30,27,31,False,2021-10-16
Cold Heart (PNAU Remix),Elton John & Dua Lipa,,32,46,5,32,False,2021-10-16
Memory I Don't Mess With,Lee Brice,,33,43,11,33,False,2021-10-16
A-O-K,Tai Verdes,,34,35,14,34,False,2021-10-16
Love Nwantiti (Ah Ah Ah),CKay,,35,50,3,35,False,2021-10-16
Intro (Hate On Me),Meek Mill,,36,0,1,36,True,2021-10-16
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),,1,33,31,37,False,2021-10-16
Gyalis,Capella Grey,,38,64,10,38,False,2021-10-16
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,,1,41,29,39,False,2021-10-16
Leave Before You Love Me,Marshmello X Jonas Brothers,,19,39,20,40,False,2021-10-16
Love Again,Dua Lipa,,41,57,12,41,False,2021-10-16
My Boy,Elvie Shane,,42,66,15,42,False,2021-10-16
Buy Dirt,Jordan Davis Featuring Luke Bryan,,43,55,9,43,False,2021-10-16
