title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Easy On Me,Adele,,1,2,7,1,False,2021-12-04
Stay,The Kid LAROI & Justin Bieber,,1,3,20,2,False,2021-12-04
Industry Baby,Lil Nas X & Jack Harlow,,1,4,18,3,False,2021-12-04
All Too Well (Taylor's Version),Taylor Swift,,1,1,2,4,False,2021-12-04
Oh My God,Adele,,5,0,1,5,True,2021-12-04
Shivers,Ed Sheeran,,5,7,11,6,False,2021-12-04
Heat Waves,Glass Animals,,7,8,45,7,False,2021-12-04
Bad Habits,Ed Sheeran,,2,6,22,8,False,2021-12-04
Need To Know,Doja Cat,,8,9,24,9,False,2021-12-04
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),,5,5,3,10,False,2021-12-04
Cold Heart (PNAU Remix),Elton John & Dua Lipa,,11,11,12,11,False,2021-12-04
All I Want For Christmas Is You,Mariah Carey,,1,36,46,12,False,2021-12-04
Fancy Like,Walker Hayes,,3,10,23,13,False,2021-12-04
Rockin' Around The Christmas Tree,Brenda Lee,,2,0,40,14,False,2021-12-04
Good 4 U,Olivia Rodrigo,,1,13,28,15,False,2021-12-04
Essence,Wizkid Featuring Justin Bieber & Tems,,9,15,21,16,False,2021-12-04
Way 2 Sexy,Drake Featuring Future & Young Thug,,1,12,12,17,False,2021-12-04
I Drink Wine,Adele,,18,0,1,18,True,2021-12-04
You Right,Doja Cat & The Weeknd,,11,14,22,19,False,2021-12-04
Jingle Bell Rock,Bobby Helms,,3,0,37,20,False,2021-12-04
One Right Now,Post Malone & The Weeknd,,6,19,3,21,False,2021-12-04
Beggin',Maneskin,,13,16,22,22,False,2021-12-04
My Little Love,Adele,,23,0,1,23,True,2021-12-04
Levitating,Dua Lipa,,2,17,60,24,False,2021-12-04
Kiss Me More,Doja Cat Featuring SZA,,3,21,33,25,False,2021-12-04
Can I Get It,Adele,,26,0,1,26,True,2021-12-04
A Holly Jolly Christmas,Burl Ives,,4,0,21,27,False,2021-12-04
If I Didn't Love You,Jason Aldean & Carrie Underwood,,15,24,18,28,False,2021-12-04
My Universe,Coldplay x BTS,,1,37,9,29,False,2021-12-04
It's The Most Wonderful Time Of The Year,Andy Williams,,5,0,22,30,False,2021-12-04
Save Your Tears,The Weeknd & Ariana Grande,,1,26,50,31,False,2021-12-04
To Be Loved,Adele,,32,0,1,32,True,2021-12-04
Knife Talk,Drake Featuring 21 Savage & Project Pat,,4,27,12,33,False,2021-12-04
Better Days,NEIKED X Mae Muller X Polo G,,29,29,6,34,False,2021-12-04
Buy Dirt,Jordan Davis Featuring Luke Bryan,,30,38,16,35,False,2021-12-04
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,,30,30,15,36,False,2021-12-04
Love Nwantiti (Ah Ah Ah),CKay,,31,34,10,37,False,2021-12-04
Ghost,Justin Bieber,,32,33,9,38,False,2021-12-04
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,,21,28,11,39,False,2021-12-04
Last Christmas,Wham!,,9,0,20,40,False,2021-12-04
Strangers By Nature,Adele,,41,0,1,41,True,2021-12-04
Thats What I Want,Lil Nas X,,10,39,10,42,False,2021-12-04
Girls Want Girls,Drake Featuring Lil Baby,,2,31,12,43,False,2021-12-04
Cry Your Heart Out,Adele,,44,0,1,44,True,2021-12-04
Happier Than Ever,Billie Eilish,,11,40,17,45,False,2021-12-04
Cold As You,Luke Combs,,32,32,17,46,False,2021-12-04
Pepas,Farruko,,25,41,18,47,False,2021-12-04
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",,17,44,7,48,False,2021-12-04
Hold On,Adele,,49,0,1,49,True,2021-12-04
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),,1,23,38,50,False,2021-12-04
abcdefu,GAYLE,,51,0,1,51,True,2021-12-04
You Should Probably Leave,Chris Stapleton,,39,42,21,52,False,2021-12-04
All Night Parking (Interlude),Adele With Erroll Garner,,53,0,1,53,True,2021-12-04
Same Boat,Zac Brown Band,,48,50,10,54,False,2021-12-04
Woman Like Me,Adele,,55,0,1,55,True,2021-12-04
Love Is A Game,Adele,,56,0,1,56,True,2021-12-04
Have Mercy,Chloe,,28,58,11,57,False,2021-12-04
Wild Side,Normani Featuring Cardi B,,14,57,19,58,False,2021-12-04
One Mississippi,Kane Brown,,59,72,9,59,False,2021-12-04
Chosen,Blxst & Tyga Featuring Ty Dolla $ign,,53,60,9,60,False,2021-12-04
Already Dead,Juice WRLD,,20,20,2,61,False,2021-12-04
Sand In My Boots,Morgan Wallen,,32,64,19,62,False,2021-12-04
Super Gremlin,Kodak Black,,63,82,3,63,False,2021-12-04
Family Ties,Baby Keem & Kendrick Lamar,,18,62,13,64,False,2021-12-04
