title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
The Box,Roddy Ricch,,1,1,8,1,False,2020-02-08
Life Is Good,Future Featuring Drake,,2,2,3,2,False,2020-02-08
Circles,Post Malone,,1,4,22,3,False,2020-02-08
Memories,Maroon 5,,2,5,19,4,False,2020-02-08
Someone You Loved,Lewis Capaldi,,1,8,38,5,False,2020-02-08
"10,000 Hours",Dan + Shay & Justin Bieber,,4,6,17,6,False,2020-02-08
Dance Monkey,Tones And I,,7,7,17,7,False,2020-02-08
Roxanne,Arizona Zervas,,4,9,13,8,False,2020-02-08
Don't Start Now,Dua Lipa,,9,15,13,9,False,2020-02-08
Everything I Wanted,Billie Eilish,,8,23,12,10,False,2020-02-08
Lose You To Love Me,Selena Gomez,,1,10,15,11,False,2020-02-08
Godzilla,Eminem Featuring Juice WRLD,,3,3,2,12,False,2020-02-08
Good As Hell,Lizzo,,3,12,23,13,False,2020-02-08
BOP,DaBaby,,11,13,18,14,False,2020-02-08
Yummy,Justin Bieber,,2,11,4,15,False,2020-02-08
Ballin',Mustard & Roddy Ricch,,11,14,28,16,False,2020-02-08
Bad Guy,Billie Eilish,,1,41,44,17,False,2020-02-08
Blinding Lights,The Weeknd,,11,21,9,18,False,2020-02-08
Heartless,The Weeknd,,1,19,10,19,False,2020-02-08
HIGHEST IN THE ROOM,Travis Scott,,1,17,17,20,False,2020-02-08
The Bones,Maren Morris,,21,22,19,21,False,2020-02-08
High Fashion,Roddy Ricch Featuring Mustard,,20,20,5,22,False,2020-02-08
Hot Girl Bummer,blackbear,,23,27,20,23,False,2020-02-08
No Guidance,Chris Brown Featuring Drake,,5,25,34,24,False,2020-02-08
Woah,Lil Baby,,16,29,12,25,False,2020-02-08
Senorita,Shawn Mendes & Camila Cabello,,1,30,32,26,False,2020-02-08
Trampoline,SHAED,,13,24,35,27,False,2020-02-08
You Should Be Sad,Halsey,,26,26,3,28,False,2020-02-08
Adore You,Harry Styles,,24,32,8,29,False,2020-02-08
What A Man Gotta Do,Jonas Brothers,,16,16,2,30,False,2020-02-08
B.I.T.C.H.,Megan Thee Stallion,,31,0,1,31,True,2020-02-08
Truth Hurts,Lizzo,,1,43,39,32,False,2020-02-08
Falling,Trevor Daniel,,31,37,11,33,False,2020-02-08
Anyone,Demi Lovato,,34,0,1,34,True,2020-02-08
My Oh My,Camila Cabello Featuring DaBaby,,35,40,8,35,False,2020-02-08
Suicidal,YNW Melly & Juice WRLD,,34,34,10,36,False,2020-02-08
Only Human,Jonas Brothers,,18,35,32,37,False,2020-02-08
Sum 2 Prove,Lil Baby,,16,33,3,38,False,2020-02-08
Sucker,Jonas Brothers,,1,49,43,39,False,2020-02-08
One Man Band,Old Dominion,,20,46,23,40,False,2020-02-08
Even Though I'm Leaving,Luke Combs,,11,45,22,41,False,2020-02-08
Heartache Medication,Jon Pardi,,42,51,18,42,False,2020-02-08
Nobody But You,Blake Shelton Duet With Gwen Stefani,,43,76,3,43,False,2020-02-08
I Don't Care,Ed Sheeran & Justin Bieber,,2,44,35,44,False,2020-02-08
Hot,Young Thug Featuring Gunna,,11,42,24,45,False,2020-02-08
Kinfolks,Sam Hunt,,46,53,16,46,False,2020-02-08
Bandit,Juice WRLD & YoungBoy Never Broke Again,,10,47,17,47,False,2020-02-08
Juicy,Doja Cat & Tyga,,45,50,14,48,False,2020-02-08
Panini,Lil Nas X,,5,39,32,49,False,2020-02-08
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,,50,56,8,50,False,2020-02-08
Tusa,Karol G & Nicki Minaj,,51,55,9,51,False,2020-02-08
Homesick,Kane Brown,,52,66,11,52,False,2020-02-08
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,,53,62,10,53,False,2020-02-08
Good News,Mac Miller,,17,18,3,54,False,2020-02-08
P*$$y Fairy (OTW),Jhene Aiko,,55,58,2,55,False,2020-02-08
I Hope,Gabby Barrett Featuring Charlie Puth,,56,73,5,56,False,2020-02-08
Slide,H.E.R. Featuring YG,,57,70,6,57,False,2020-02-08
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,,28,65,9,58,False,2020-02-08
Heart On Ice,Rod Wave,,54,72,12,59,False,2020-02-08
Futsal Shuffle 2020,Lil Uzi Vert,,5,59,7,60,False,2020-02-08
VIBEZ,DaBaby,,21,69,18,61,False,2020-02-08
BEST ON EARTH,Russ & BIA,,62,79,8,62,False,2020-02-08
Out West,JACKBOYS Featuring Young Thug,,38,85,5,63,False,2020-02-08
Graveyard,Halsey,,34,54,20,64,False,2020-02-08
What She Wants Tonight,Luke Bryan,,65,90,6,65,False,2020-02-08
No Idea,Don Toliver,,43,77,9,66,False,2020-02-08
Ridin' Roads,Dustin Lynch,,47,60,13,67,False,2020-02-08
More Hearts Than Mine,Ingrid Andress,,68,86,5,68,False,2020-02-08
SUGAR,BrockHampton,,66,78,4,69,False,2020-02-08
I Wish Grandpas Never Died,Riley Green,,70,87,5,70,False,2020-02-08
Start Wit Me,Roddy Ricch & Gunna,,56,74,11,71,False,2020-02-08
Make Me Want To,Jimmie Allen,,72,88,5,72,False,2020-02-08
Say So,Doja Cat Featuring Nicki Minaj,,73,92,4,73,False,2020-02-08
We Back,Jason Aldean,,72,95,9,74,False,2020-02-08
I Hope You're Happy Now,Carly Pearce & Lee Brice,,75,97,4,75,False,2020-02-08
homecoming queen?,Kelsea Ballerini,,76,96,8,76,False,2020-02-08
U Played,MoneyBagg Yo Featuring Lil Baby,,53,82,4,77,False,2020-02-08
Blue World,Mac Miller,,38,38,2,78,False,2020-02-08
Make No Sense,YoungBoy Never Broke Again,,57,98,12,79,False,2020-02-08
Letter To Nipsey,Meek Mill Featuring Roddy Ricch,,80,0,1,80,True,2020-02-08
Jerry Sprunger,Tory Lanez & T-Pain,,44,0,8,81,False,2020-02-08
Chasin' You,Morgan Wallen,,82,0,1,82,True,2020-02-08
Rare,Selena Gomez,,30,81,3,83,False,2020-02-08
Slow Dance In A Parking Lot,Jordan Davis,,84,0,4,84,False,2020-02-08
Before You Go,Lewis Capaldi,,85,0,1,85,True,2020-02-08
Those Kinda Nights,Eminem Featuring Ed Sheeran,,31,31,2,86,False,2020-02-08
Vete,Bad Bunny,,33,0,9,87,False,2020-02-08
Homemade,Jake Owen,,88,0,1,88,True,2020-02-08
Easy,DaniLeigh Featuring Chris Brown,,79,99,13,89,False,2020-02-08
Come Thru,Summer Walker & Usher,,42,0,7,90,False,2020-02-08
Darkness,Eminem,,28,28,2,91,False,2020-02-08
Camelot,NLE Choppa,,37,0,19,92,False,2020-02-08
Underdog,Alicia Keys,,93,0,1,93,True,2020-02-08
First Man,Camila Cabello,,94,0,1,94,True,2020-02-08
What If I Told You That I Love You,Ali Gatie,,95,0,1,95,True,2020-02-08
Catch,Brett Young,,96,0,1,96,True,2020-02-08
Unaccommodating,Eminem Featuring Young M.A,,36,36,2,97,False,2020-02-08
July,Noah Cyrus & Leon Bridges,,91,0,4,98,False,2020-02-08
You Gon' Learn,"Eminem Featuring Royce da 5'9"" & White Gold",,52,52,2,99,False,2020-02-08
Dive Bar,Garth Brooks & Blake Shelton,,100,0,1,100,True,2020-02-08
