title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
All I Want For Christmas Is You,Mariah Carey,,1,2,43,1,False,2021-01-02
Rockin' Around The Christmas Tree,Brenda Lee,,2,3,38,2,False,2021-01-02
Jingle Bell Rock,Bobby Helms,,3,4,35,3,False,2021-01-02
A Holly Jolly Christmas,Burl Ives,,4,6,19,4,False,2021-01-02
It's The Most Wonderful Time Of The Year,Andy Williams,,5,7,20,5,False,2021-01-02
Feliz Navidad,Jose Feliciano,,6,10,14,6,False,2021-01-02
Mood,24kGoldn Featuring iann dior,,1,5,20,7,False,2021-01-02
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,,8,11,13,8,False,2021-01-02
Last Christmas,Wham!,,9,14,19,9,False,2021-01-02
Run Rudolph Run,Chuck Berry,,10,29,8,10,False,2021-01-02
The Christmas Song (Merry Christmas To You),Nat King Cole,,11,15,26,11,False,2021-01-02
Underneath The Tree,Kelly Clarkson,,12,28,9,12,False,2021-01-02
Sleigh Ride,The Ronettes,,13,19,11,13,False,2021-01-02
Positions,Ariana Grande,,1,8,9,14,False,2021-01-02
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,,12,12,8,15,False,2021-01-02
Rudolph The Red-Nosed Reindeer,Gene Autry,,16,31,12,16,False,2021-01-02
Santa Tell Me,Ariana Grande,,17,32,8,17,False,2021-01-02
Happy Holiday / The Holiday Season,Andy Williams,,18,26,8,18,False,2021-01-02
Christmas (Baby Please Come Home),Darlene Love,,19,37,7,19,False,2021-01-02
White Christmas,Bing Crosby,,12,38,20,20,False,2021-01-02
Holy,Justin Bieber Featuring Chance The Rapper,,3,13,14,21,False,2021-01-02
(There's No Place Like) Home For The Holidays,Perry Como,,22,43,7,22,False,2021-01-02
It's Beginning To Look A Lot Like Christmas,Michael Buble,,23,42,5,23,False,2021-01-02
Go Crazy,Chris Brown & Young Thug,,9,16,33,24,False,2021-01-02
Laugh Now Cry Later,Drake Featuring Lil Durk,,2,17,19,25,False,2021-01-02
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,,26,69,10,26,False,2021-01-02
Levitating,Dua Lipa,,20,27,12,27,False,2021-01-02
Wonderful Christmastime,Paul McCartney,,28,46,4,28,False,2021-01-02
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,,6,25,25,29,False,2021-01-02
I Hope,Gabby Barrett Featuring Charlie Puth,,3,20,52,30,False,2021-01-02
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,,6,24,19,31,False,2021-01-02
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,,32,0,2,32,False,2021-01-02
Blue Christmas,Elvis Presley,,33,0,3,33,False,2021-01-02
Dakiti,Bad Bunny & Jhay Cortez,,5,23,8,34,False,2021-01-02
Body,Megan Thee Stallion,,12,22,5,35,False,2021-01-02
Mele Kalikimaka (Merry Christmas),Bing Crosby & The Andrews Sisters,,36,0,1,36,True,2021-01-02
Bang!,AJR,,24,33,25,37,False,2021-01-02
Willow,Taylor Swift,,1,1,2,38,False,2021-01-02
This Christmas,Donny Hathaway,,39,0,1,39,True,2021-01-02
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,,8,35,8,40,False,2021-01-02
Kings & Queens,Ava Max,,13,30,20,41,False,2021-01-02
Therefore I Am,Billie Eilish,,2,36,7,42,False,2021-01-02
Deck The Halls,Nat King Cole,,43,47,2,43,False,2021-01-02
Dynamite,BTS,,1,9,18,44,False,2021-01-02
Please Come Home For Christmas,Eagles,,18,0,9,45,False,2021-01-02
Santa Claus Is Comin' To Town,Jackson 5,,46,0,1,46,True,2021-01-02
Little Saint Nick,The Beach Boys,,47,0,1,47,True,2021-01-02
Take Me Home For Christmas,Dan + Shay,,48,58,3,48,False,2021-01-02
Have Yourself A Merry Little Christmas,Michael Buble,,49,0,1,49,True,2021-01-02
I'll Be Home For Christmas,Bing Crosby,,50,0,1,50,True,2021-01-02
What You Know Bout Love,Pop Smoke,,25,48,16,51,False,2021-01-02
Whoopty,CJ,,51,53,7,52,False,2021-01-02
Lonely,Justin Bieber & benny blanco,,14,51,10,53,False,2021-01-02
Hallelujah,Carrie Underwood & John Legend,,54,84,3,54,False,2021-01-02
WAP,Cardi B Featuring Megan Thee Stallion,,1,55,20,55,False,2021-01-02
Holiday,Lil Nas X,,37,56,6,56,False,2021-01-02
Better Together,Luke Combs,,30,59,12,57,False,2021-01-02
On Me,Lil Baby,,30,60,3,58,False,2021-01-02
Afterglow,Ed Sheeran,,59,0,1,59,True,2021-01-02
Gnat,Eminem,,60,0,1,60,True,2021-01-02
Rockin' Around The Christmas Tree,Justin Bieber,,61,87,4,61,False,2021-01-02
Favorite Time Of Year,Carrie Underwood,,62,99,4,62,False,2021-01-02
Hawai,Maluma & The Weeknd,,12,65,18,63,False,2021-01-02
Monster,Shawn Mendes & Justin Bieber,,8,62,5,64,False,2021-01-02
Diamonds,Sam Smith,,40,66,14,65,False,2021-01-02
Starting Over,Chris Stapleton,,25,72,17,66,False,2021-01-02
Cry Baby,Megan Thee Stallion Featuring DaBaby,,67,95,3,67,False,2021-01-02
You Broke Me First.,Tate McRae,,50,79,18,68,False,2021-01-02
My Ex's Best Friend,Machine Gun Kelly X blackbear,,28,86,19,69,False,2021-01-02
Without You,The Kid LAROI,,63,81,3,70,False,2021-01-02
"Big, Big Plans",Chris Lane,,42,73,12,71,False,2021-01-02
Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,,10,88,12,72,False,2021-01-02
Forever After All,Luke Combs,,2,92,9,73,False,2021-01-02
Throat Baby (Go Baby),BRS Kash,,69,97,10,74,False,2021-01-02
Under The Mistletoe,Kelly Clarkson & Brett Eldredge,,59,0,3,75,False,2021-01-02
Tyler Herro,Jack Harlow,,34,77,9,76,False,2021-01-02
Champagne Problems,Taylor Swift,,21,21,2,77,False,2021-01-02
