title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Drivers License,Olivia Rodrigo,,1,1,7,1,False,2021-03-06
Up,Cardi B,,2,5,3,2,False,2021-03-06
Go Crazy,Chris Brown & Young Thug,,3,8,42,3,False,2021-03-06
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,,2,2,17,4,False,2021-03-06
Blinding Lights,The Weeknd,,1,4,64,5,False,2021-03-06
Save Your Tears,The Weeknd & Ariana Grande,,4,6,11,6,False,2021-03-06
Mood,24kGoldn Featuring iann dior,,1,7,29,7,False,2021-03-06
Calling My Phone,Lil Tjay Featuring 6LACK,,3,3,2,8,False,2021-03-06
Positions,Ariana Grande,,1,10,18,9,False,2021-03-06
Levitating,Dua Lipa,,5,9,21,10,False,2021-03-06
What You Know Bout Love,Pop Smoke,,10,12,25,11,False,2021-03-06
Therefore I Am,Billie Eilish,,2,13,16,12,False,2021-03-06
Back In Blood,Pooh Shiesty Featuring Lil Durk,,13,16,8,13,False,2021-03-06
Whoopty,CJ,,10,15,16,14,False,2021-03-06
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,,6,14,34,15,False,2021-03-06
Dakiti,Bad Bunny & Jhay Cortez,,5,21,17,16,False,2021-03-06
Good Days,SZA,,9,18,9,17,False,2021-03-06
I Hope,Gabby Barrett Featuring Charlie Puth,,3,19,61,18,False,2021-03-06
You're Mines Still,Yung Bleu Featuring Drake,,19,24,12,19,False,2021-03-06
Better Together,Luke Combs,,15,20,21,20,False,2021-03-06
You Broke Me First.,Tate McRae,,21,23,27,21,False,2021-03-06
Streets,Doja Cat,,18,27,7,22,False,2021-03-06
On Me,Lil Baby,,23,32,12,23,False,2021-03-06
My Ex's Best Friend,Machine Gun Kelly X blackbear,,24,29,28,24,False,2021-03-06
Good Time,Niko Moon,,25,35,21,25,False,2021-03-06
Throat Baby (Go Baby),BRS Kash,,24,30,19,26,False,2021-03-06
Holy,Justin Bieber Featuring Chance The Rapper,,3,17,23,27,False,2021-03-06
Best Friend,Saweetie Featuring Doja Cat,,28,38,7,28,False,2021-03-06
Willow,Taylor Swift,,1,25,11,29,False,2021-03-06
Lonely,Justin Bieber & benny blanco,,12,22,19,30,False,2021-03-06
Bang!,AJR,,8,31,34,31,False,2021-03-06
No More Parties,Coi Leray Featuring Lil Durk,,32,70,3,32,False,2021-03-06
Anyone,Justin Bieber,,6,28,8,33,False,2021-03-06
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,,6,34,28,34,False,2021-03-06
