title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
The Box,Roddy Ricch,,1,1,12,1,False,2020-03-07
Life Is Good,Future Featuring Drake,,2,2,7,2,False,2020-03-07
Circles,Post Malone,,1,3,26,3,False,2020-03-07
ON,BTS,,4,0,1,4,True,2020-03-07
Don't Start Now,Dua Lipa,,5,5,17,5,False,2020-03-07
Roxanne,Arizona Zervas,,4,6,17,6,False,2020-03-07
Dance Monkey,Tones And I,,4,4,21,7,False,2020-03-07
Blinding Lights,The Weeknd,,8,10,13,8,False,2020-03-07
Memories,Maroon 5,,2,7,23,9,False,2020-03-07
Someone You Loved,Lewis Capaldi,,1,8,42,10,False,2020-03-07
Intentions,Justin Bieber Featuring Quavo,,9,9,3,11,False,2020-03-07
Everything I Wanted,Billie Eilish,,8,12,16,12,False,2020-03-07
Heartless,The Weeknd,,1,14,14,13,False,2020-03-07
Hot Girl Bummer,blackbear,,14,15,24,14,False,2020-03-07
Adore You,Harry Styles,,15,20,12,15,False,2020-03-07
"10,000 Hours",Dan + Shay & Justin Bieber,,4,13,21,16,False,2020-03-07
Ballin',Mustard & Roddy Ricch,,11,17,32,17,False,2020-03-07
BOP,DaBaby,,11,18,22,18,False,2020-03-07
The Bones,Maren Morris,,18,19,23,19,False,2020-03-07
After Hours,The Weeknd,,20,77,2,20,False,2020-03-07
Lose You To Love Me,Selena Gomez,,1,21,19,21,False,2020-03-07
My Oh My,Camila Cabello Featuring DaBaby,,22,25,12,22,False,2020-03-07
Yummy,Justin Bieber,,2,11,8,23,False,2020-03-07
Woah,Lil Baby,,16,28,16,24,False,2020-03-07
High Fashion,Roddy Ricch Featuring Mustard,,20,26,9,25,False,2020-03-07
You Should Be Sad,Halsey,,26,29,7,26,False,2020-03-07
Good As Hell,Lizzo,,3,22,27,27,False,2020-03-07
Lil Top,YoungBoy Never Broke Again,,28,0,1,28,True,2020-03-07
Falling,Trevor Daniel,,25,27,15,29,False,2020-03-07
Dior,Pop Smoke,,30,49,2,30,False,2020-03-07
No Guidance,Chris Brown Featuring Drake,,5,31,38,31,False,2020-03-07
What A Man Gotta Do,Jonas Brothers,,16,33,6,32,False,2020-03-07
Say So,Doja Cat Featuring Nicki Minaj,,33,51,8,33,False,2020-03-07
Kinfolks,Sam Hunt,,34,34,20,34,False,2020-03-07
Senorita,Shawn Mendes & Camila Cabello,,1,32,36,35,False,2020-03-07
Bad Guy,Billie Eilish,,1,30,48,36,False,2020-03-07
Godzilla,Eminem Featuring Juice WRLD,,3,36,6,37,False,2020-03-07
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,,36,40,14,38,False,2020-03-07
Homesick,Kane Brown,,39,43,15,39,False,2020-03-07
HIGHEST IN THE ROOM,Travis Scott,,1,35,21,40,False,2020-03-07
Trampoline,SHAED,,13,37,39,41,False,2020-03-07
One Man Band,Old Dominion,,20,38,27,42,False,2020-03-07
Sucker,Jonas Brothers,,1,41,47,43,False,2020-03-07
I Don't Care,Ed Sheeran & Justin Bieber,,2,39,39,44,False,2020-03-07
I Hope,Gabby Barrett Featuring Charlie Puth,,44,44,9,45,False,2020-03-07
Sum 2 Prove,Lil Baby,,16,50,7,46,False,2020-03-07
Red Eye,YoungBoy Never Broke Again,,47,0,1,47,True,2020-03-07
Only Human,Jonas Brothers,,18,42,36,48,False,2020-03-07
Make Me Want To,Jimmie Allen,,49,53,9,49,False,2020-03-07
Numbers,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",,23,23,2,50,False,2020-03-07
Blueberry Faygo,Lil Mosey,,51,54,3,51,False,2020-03-07
Slide,H.E.R. Featuring YG,,52,55,10,52,False,2020-03-07
Tusa,Karol G & Nicki Minaj,,42,47,13,53,False,2020-03-07
No Time To Die,Billie Eilish,,16,16,2,54,False,2020-03-07
