title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Rockstar,DaBaby Featuring Roddy Ricch,,1,3,7,1,False,2020-06-13
Savage,Megan Thee Stallion,,1,2,12,2,False,2020-06-13
Blinding Lights,The Weeknd,,1,4,27,3,False,2020-06-13
Say So,Doja Cat Featuring Nicki Minaj,,1,5,22,4,False,2020-06-13
Rain On Me,Lady Gaga & Ariana Grande,,1,1,2,5,False,2020-06-13
Toosie Slide,Drake,,1,6,9,6,False,2020-06-13
Don't Start Now,Dua Lipa,,2,7,31,7,False,2020-06-13
Intentions,Justin Bieber Featuring Quavo,,8,9,17,8,False,2020-06-13
The Box,Roddy Ricch,,1,8,26,9,False,2020-06-13
Roses,SAINt JHN,,10,14,11,10,False,2020-06-13
Circles,Post Malone,,1,11,40,11,False,2020-06-13
Adore You,Harry Styles,,6,12,26,12,False,2020-06-13
Life Is Good,Future Featuring Drake,,2,10,21,13,False,2020-06-13
The Bones,Maren Morris,,12,13,37,14,False,2020-06-13
Blueberry Faygo,Lil Mosey,,15,16,17,15,False,2020-06-13
Chasin' You,Morgan Wallen,,16,18,19,16,False,2020-06-13
Stuck With U,Ariana Grande & Justin Bieber,,1,15,4,17,False,2020-06-13
Falling,Trevor Daniel,,18,21,29,18,False,2020-06-13
I Hope,Gabby Barrett Featuring Charlie Puth,,16,19,23,19,False,2020-06-13
Sunday Best,Surfaces,,20,24,14,20,False,2020-06-13
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",,21,25,17,21,False,2020-06-13
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",,1,17,6,22,False,2020-06-13
High Fashion,Roddy Ricch Featuring Mustard,,20,23,23,23,False,2020-06-13
Death Bed,Powfu Featuring beabadoobee,,24,26,12,24,False,2020-06-13
Does To Me,Luke Combs Featuring Eric Church,,20,20,12,25,False,2020-06-13
Party Girl,StaySolidRocky,,26,27,6,26,False,2020-06-13
I Hope You're Happy Now,Carly Pearce & Lee Brice,,27,29,22,27,False,2020-06-13
Before You Go,Lewis Capaldi,,28,30,18,28,False,2020-06-13
Break My Heart,Dua Lipa,,21,34,10,29,False,2020-06-13
Hard To Forget,Sam Hunt,,30,37,10,30,False,2020-06-13
After A Few,Travis Denning,,31,33,10,31,False,2020-06-13
Memories,Maroon 5,,2,36,37,32,False,2020-06-13
Sour Candy,Lady Gaga & BLACKPINK,,33,0,1,33,True,2020-06-13
My Oh My,Camila Cabello Featuring DaBaby,,12,31,26,34,False,2020-06-13
Nobody But You,Blake Shelton Duet With Gwen Stefani,,18,28,21,35,False,2020-06-13
Be Kind,Marshmello & Halsey,,29,39,5,36,False,2020-06-13
Gooba,6ix9ine,,3,22,4,37,False,2020-06-13
Everything I Wanted,Billie Eilish,,8,35,30,38,False,2020-06-13
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,,39,53,19,39,False,2020-06-13
Watermelon Sugar,Harry Styles,,40,45,11,40,False,2020-06-13
Tell Me U Luv Me,Juice WRLD & Trippie Redd,,41,0,1,41,True,2020-06-13
Stupid Love,Lady Gaga,,5,0,10,42,False,2020-06-13
Supalonely,BENEE Featuring Gus Dapperton,,39,44,12,43,False,2020-06-13
One Margarita,Luke Bryan,,44,47,5,44,False,2020-06-13
Walk Em Down,NLE Choppa Featuring Roddy Ricch,,45,46,11,45,False,2020-06-13
Bluebird,Miranda Lambert,,46,51,9,46,False,2020-06-13
Hot Girl Bummer,blackbear,,11,43,38,47,False,2020-06-13
Here And Now,Kenny Chesney,,48,69,9,48,False,2020-06-13
Dance Monkey,Tones And I,,4,48,35,49,False,2020-06-13
Go Crazy,Chris Brown & Young Thug,,50,52,4,50,False,2020-06-13
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,,36,40,12,51,False,2020-06-13
Emotionally Scarred,Lil Baby,,31,54,14,52,False,2020-06-13
In Your Eyes,The Weeknd,,16,32,11,53,False,2020-06-13
Dior,Pop Smoke,,30,56,16,54,False,2020-06-13
We Paid,Lil Baby & 42 Dugg,,55,60,5,55,False,2020-06-13
Flex,Polo G Featuring Juice WRLD,,30,49,3,56,False,2020-06-13
After Party,Don Toliver,,57,63,7,57,False,2020-06-13
If The World Was Ending,JP Saxe Featuring Julia Michaels,,58,73,10,58,False,2020-06-13
Chicago Freestyle,Drake Featuring Giveon,,14,58,5,59,False,2020-06-13
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",,60,89,9,60,False,2020-06-13
