title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Rockstar,DaBaby Featuring Roddy Ricch,,1,1,11,1,False,2020-07-11
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",,2,8,21,2,False,2020-07-11
Blinding Lights,The Weeknd,,1,3,31,3,False,2020-07-11
Savage,Megan Thee Stallion,,1,2,16,4,False,2020-07-11
Roses,SAINt JHN,,4,4,15,5,False,2020-07-11
Say So,Doja Cat Featuring Nicki Minaj,,1,6,26,6,False,2020-07-11
Intentions,Justin Bieber Featuring Quavo,,5,5,21,7,False,2020-07-11
Watermelon Sugar,Harry Styles,,8,16,15,8,False,2020-07-11
Blueberry Faygo,Lil Mosey,,9,9,21,9,False,2020-07-11
We Paid,Lil Baby & 42 Dugg,,10,18,9,10,False,2020-07-11
Adore You,Harry Styles,,6,12,30,11,False,2020-07-11
Rain On Me,Lady Gaga & Ariana Grande,,1,11,6,12,False,2020-07-11
Circles,Post Malone,,1,10,44,13,False,2020-07-11
The Bigger Picture,Lil Baby,,3,7,3,14,False,2020-07-11
Don't Start Now,Dua Lipa,,2,14,35,15,False,2020-07-11
The Box,Roddy Ricch,,1,15,30,16,False,2020-07-11
The Bones,Maren Morris,,12,13,41,17,False,2020-07-11
Life Is Good,Future Featuring Drake,,2,21,25,18,False,2020-07-11
Falling,Trevor Daniel,,17,19,33,19,False,2020-07-11
Break My Heart,Dua Lipa,,20,23,14,20,False,2020-07-11
I Hope,Gabby Barrett Featuring Charlie Puth,,16,17,27,21,False,2020-07-11
One Margarita,Luke Bryan,,22,29,9,22,False,2020-07-11
Sunday Best,Surfaces,,19,22,18,23,False,2020-07-11
Death Bed,Powfu Featuring beabadoobee,,23,24,16,24,False,2020-07-11
Before You Go,Lewis Capaldi,,25,27,22,25,False,2020-07-11
Toosie Slide,Drake,,1,20,13,26,False,2020-07-11
Hard To Forget,Sam Hunt,,26,26,14,27,False,2020-07-11
Girls In The Hood,Megan Thee Stallion,,28,0,1,28,True,2020-07-11
Party Girl,StaySolidRocky,,21,25,10,29,False,2020-07-11
Go Crazy,Chris Brown & Young Thug,,30,32,8,30,False,2020-07-11
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,,31,43,3,31,False,2020-07-11
Chasin' You,Morgan Wallen,,16,30,23,32,False,2020-07-11
How You Like That,BLACKPINK,,33,0,1,33,True,2020-07-11
Stuck With U,Ariana Grande & Justin Bieber,,1,28,8,34,False,2020-07-11
Bluebird,Miranda Lambert,,33,33,13,35,False,2020-07-11
High Fashion,Roddy Ricch Featuring Mustard,,20,31,27,36,False,2020-07-11
Emotionally Scarred,Lil Baby,,31,36,18,37,False,2020-07-11
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",,1,35,10,38,False,2020-07-11
Be Kind,Marshmello & Halsey,,29,41,9,39,False,2020-07-11
Walk Em Down,NLE Choppa Featuring Roddy Ricch,,38,39,15,40,False,2020-07-11
Supalonely,BENEE Featuring Gus Dapperton,,39,42,16,41,False,2020-07-11
Memories,Maroon 5,,2,40,41,42,False,2020-07-11
Nobody But You,Blake Shelton Duet With Gwen Stefani,,18,44,25,43,False,2020-07-11
Dior,Pop Smoke,,30,46,20,44,False,2020-07-11
