title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Dynamite,BTS,,1,0,1,1,True,2020-09-05
WAP,Cardi B Featuring Megan Thee Stallion,,1,1,3,2,False,2020-09-05
Laugh Now Cry Later,Drake Featuring Lil Durk,,2,2,2,3,False,2020-09-05
Rockstar,DaBaby Featuring Roddy Ricch,,1,3,19,4,False,2020-09-05
Blinding Lights,The Weeknd,,1,4,39,5,False,2020-09-05
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",,2,5,29,6,False,2020-09-05
Watermelon Sugar,Harry Styles,,1,7,23,7,False,2020-09-05
Roses,SAINt JHN,,4,8,23,8,False,2020-09-05
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,,7,9,11,9,False,2020-09-05
Before You Go,Lewis Capaldi,,10,12,30,10,False,2020-09-05
I Hope,Gabby Barrett Featuring Charlie Puth,,10,10,35,11,False,2020-09-05
Mood,24kGoldn Featuring iann dior,,12,26,3,12,False,2020-09-05
Go Crazy,Chris Brown & Young Thug,,9,11,16,13,False,2020-09-05
Break My Heart,Dua Lipa,,13,13,22,14,False,2020-09-05
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,,6,17,8,15,False,2020-09-05
Circles,Post Malone,,1,16,52,16,False,2020-09-05
Adore You,Harry Styles,,6,15,38,17,False,2020-09-05
Mood Swings,Pop Smoke Featuring Lil Tjay,,17,19,8,18,False,2020-09-05
Come & Go,Juice WRLD x Marshmello,,2,18,7,19,False,2020-09-05
Savage,Megan Thee Stallion,,1,20,24,20,False,2020-09-05
Popstar,DJ Khaled Featuring Drake,,3,21,6,21,False,2020-09-05
Die From A Broken Heart,Maddie & Tae,,22,25,20,22,False,2020-09-05
The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,,11,28,8,23,False,2020-09-05
Death Bed,Powfu Featuring beabadoobee,,23,23,24,24,False,2020-09-05
The Bones,Maren Morris,,12,29,49,25,False,2020-09-05
Be Like That,Kane Brown With Swae Lee & Khalid,,26,34,7,26,False,2020-09-05
Don't Start Now,Dua Lipa,,2,27,43,27,False,2020-09-05
Rags2Riches,Rod Wave Featuring ATR Son Son,,12,22,9,28,False,2020-09-05
Blueberry Faygo,Lil Mosey,,8,24,29,29,False,2020-09-05
Lovin' On You,Luke Combs,,30,53,9,30,False,2020-09-05
Tap In,Saweetie,,31,41,7,31,False,2020-09-05
Wishing Well,Juice WRLD,,5,32,7,32,False,2020-09-05
Got What I Got,Jason Aldean,,33,46,13,33,False,2020-09-05
If The World Was Ending,JP Saxe Featuring Julia Michaels,,34,48,22,34,False,2020-09-05
Life Is Good,Future Featuring Drake,,2,31,33,35,False,2020-09-05
Cardigan,Taylor Swift,,1,33,5,36,False,2020-09-05
One Margarita,Luke Bryan,,19,30,17,37,False,2020-09-05
7 Summers,Morgan Wallen,,6,6,2,38,False,2020-09-05
Cool Again,Kane Brown,,39,39,13,39,False,2020-09-05
I Love My Country,Florida Georgia Line,,40,55,19,40,False,2020-09-05
Midnight Sky,Miley Cyrus,,14,14,2,41,False,2020-09-05
Intentions,Justin Bieber Featuring Quavo,,5,37,29,42,False,2020-09-05
Chasin' You,Morgan Wallen,,16,36,31,43,False,2020-09-05
We Paid,Lil Baby & 42 Dugg,,10,38,17,44,False,2020-09-05
Girls In The Hood,Megan Thee Stallion,,28,42,9,45,False,2020-09-05
One Of Them Girls,Lee Brice,,46,52,13,46,False,2020-09-05
Say So,Doja Cat Featuring Nicki Minaj,,1,43,34,47,False,2020-09-05
The Box,Roddy Ricch,,1,47,38,48,False,2020-09-05
Nobody's Love,Maroon 5,,41,49,5,49,False,2020-09-05
Heather,Conan Gray,,50,61,2,50,False,2020-09-05
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",,51,57,21,51,False,2020-09-05
Smile,Juice WRLD & The Weeknd,,8,35,3,52,False,2020-09-05
Party Girl,StaySolidRocky,,21,40,18,53,False,2020-09-05
The Bigger Picture,Lil Baby,,3,51,11,54,False,2020-09-05
Rain On Me,Lady Gaga & Ariana Grande,,1,44,14,55,False,2020-09-05
Like That,Doja Cat Featuring Gucci Mane,,51,56,13,56,False,2020-09-05
My Future,Billie Eilish,,6,54,4,57,False,2020-09-05
Said Sum,Moneybagg Yo,,44,59,8,58,False,2020-09-05
I Should Probably Go To Bed,Dan + Shay,,43,65,4,59,False,2020-09-05
Why We Drink,Justin Moore,,50,50,13,60,False,2020-09-05
I Called Mama,Tim McGraw,,61,78,4,61,False,2020-09-05
Greece,DJ Khaled Featuring Drake,,8,60,6,62,False,2020-09-05
24,Money Man Featuring Lil Baby,,63,71,2,63,False,2020-09-05
Bang!,AJR,,64,69,8,64,False,2020-09-05
Kacey Talk,YoungBoy Never Broke Again,,58,58,2,65,False,2020-09-05
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,,66,66,2,66,False,2020-09-05
More Than My Hometown,Morgan Wallen,,61,62,11,67,False,2020-09-05
God Whispered Your Name,Keith Urban,,60,70,19,68,False,2020-09-05
Need It,Migos Featuring YoungBoy Never Broke Again,,62,0,13,69,False,2020-09-05
Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",,63,68,5,70,False,2020-09-05
Breaking Me,Topic & A7S,,71,73,5,71,False,2020-09-05
One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,,72,74,12,72,False,2020-09-05
Kings & Queens,Ava Max,,73,76,3,73,False,2020-09-05
The Plan,Travis Scott,,74,0,1,74,True,2020-09-05
Pretty Heart,Parker McCollum,,75,77,7,75,False,2020-09-05
Done,Chris Janson,,41,63,11,76,False,2020-09-05
Happy Anywhere,Blake Shelton Featuring Gwen Stefani,,56,84,5,77,False,2020-09-05
Some Girls,Jameson Rodgers,,78,86,3,78,False,2020-09-05
Hawai,Maluma & The Weeknd,,79,0,1,79,True,2020-09-05
One Night Standards,Ashley McBryde,,76,80,12,80,False,2020-09-05
Caramelo,Ozuna x Karol G x Myke Towers,,81,92,2,81,False,2020-09-05
ily,Surf Mesa Featuring Emilee,,72,81,14,82,False,2020-09-05
Martin & Gina,Polo G,,61,83,4,83,False,2020-09-05
