title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Blinding Lights,The Weeknd,,1,1,21,1,False,2020-05-02
Toosie Slide,Drake,,1,2,3,2,False,2020-05-02
The Box,Roddy Ricch,,1,3,20,3,False,2020-05-02
Don't Start Now,Dua Lipa,,2,4,25,4,False,2020-05-02
Say So,Doja Cat Featuring Nicki Minaj,,5,5,16,5,False,2020-05-02
Circles,Post Malone,,1,7,34,6,False,2020-05-02
Adore You,Harry Styles,,6,6,20,7,False,2020-05-02
Intentions,Justin Bieber Featuring Quavo,,8,9,11,8,False,2020-05-02
Rockstar,DaBaby Featuring Roddy Ricch,,9,0,1,9,True,2020-05-02
Life Is Good,Future Featuring Drake,,2,8,15,10,False,2020-05-02
Everything I Wanted,Billie Eilish,,8,10,24,11,False,2020-05-02
My Oh My,Camila Cabello Featuring DaBaby,,12,12,20,12,False,2020-05-02
The Bones,Maren Morris,,12,13,31,13,False,2020-05-02
Savage,Megan Thee Stallion,,14,14,6,14,False,2020-05-02
Someone You Loved,Lewis Capaldi,,1,11,50,15,False,2020-05-02
I Hope,Gabby Barrett Featuring Charlie Puth,,16,17,17,16,False,2020-05-02
Jump,DaBaby Featuring YoungBoy Never Broke Again,,17,0,1,17,True,2020-05-02
Memories,Maroon 5,,2,15,31,18,False,2020-05-02
Blueberry Faygo,Lil Mosey,,16,16,11,19,False,2020-05-02
Nobody But You,Blake Shelton Duet With Gwen Stefani,,18,18,15,20,False,2020-05-02
Chasin' You,Morgan Wallen,,21,25,13,21,False,2020-05-02
Roses,SAINt JHN,,22,26,5,22,False,2020-05-02
Falling,Trevor Daniel,,22,22,23,23,False,2020-05-02
Hot Girl Bummer,blackbear,,11,20,32,24,False,2020-05-02
High Fashion,Roddy Ricch Featuring Mustard,,20,29,17,25,False,2020-05-02
Roxanne,Arizona Zervas,,4,19,25,26,False,2020-05-02
Death Bed,Powfu Featuring beabadoobee,,27,30,6,27,False,2020-05-02
Heartless,The Weeknd,,1,21,22,28,False,2020-05-02
Heart On Ice,Rod Wave,,25,28,24,29,False,2020-05-02
More Hearts Than Mine,Ingrid Andress,,30,32,17,30,False,2020-05-02
Dance Monkey,Tones And I,,4,24,29,31,False,2020-05-02
Ballin',Mustard & Roddy Ricch,,11,27,40,32,False,2020-05-02
Find My Way,DaBaby,,22,51,3,33,False,2020-05-02
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,,26,31,22,34,False,2020-05-02
@ MEH,Playboi Carti,,35,0,1,35,True,2020-05-02
I'm Ready,Sam Smith & Demi Lovato,,36,0,1,36,True,2020-05-02
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",,36,36,11,37,False,2020-05-02
Sunday Best,Surfaces,,38,38,8,38,False,2020-05-02
Break My Heart,Dua Lipa,,21,35,4,39,False,2020-05-02
Does To Me,Luke Combs Featuring Eric Church,,40,48,6,40,False,2020-05-02
