title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Drivers License,Olivia Rodrigo,,1,1,6,1,False,2021-02-27
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,,2,6,16,2,False,2021-02-27
Calling My Phone,Lil Tjay Featuring 6LACK,,3,0,1,3,True,2021-02-27
Blinding Lights,The Weeknd,,1,3,63,4,False,2021-02-27
Up,Cardi B,,2,2,2,5,False,2021-02-27
Save Your Tears,The Weeknd & Ariana Grande,,4,4,10,6,False,2021-02-27
Mood,24kGoldn Featuring iann dior,,1,5,28,7,False,2021-02-27
Go Crazy,Chris Brown & Young Thug,,5,7,41,8,False,2021-02-27
Levitating,Dua Lipa,,5,8,20,9,False,2021-02-27
Positions,Ariana Grande,,1,9,17,10,False,2021-02-27
Love Story (Taylor's Version),Taylor Swift,,11,0,1,11,True,2021-02-27
What You Know Bout Love,Pop Smoke,,10,10,24,12,False,2021-02-27
Therefore I Am,Billie Eilish,,2,15,15,13,False,2021-02-27
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,,6,12,33,14,False,2021-02-27
Whoopty,CJ,,10,11,15,15,False,2021-02-27
Back In Blood,Pooh Shiesty Featuring Lil Durk,,16,17,7,16,False,2021-02-27
Holy,Justin Bieber Featuring Chance The Rapper,,3,14,22,17,False,2021-02-27
Good Days,SZA,,9,13,8,18,False,2021-02-27
I Hope,Gabby Barrett Featuring Charlie Puth,,3,20,60,19,False,2021-02-27
Better Together,Luke Combs,,15,18,20,20,False,2021-02-27
Dakiti,Bad Bunny & Jhay Cortez,,5,19,16,21,False,2021-02-27
Lonely,Justin Bieber & benny blanco,,12,16,18,22,False,2021-02-27
You Broke Me First.,Tate McRae,,23,24,26,23,False,2021-02-27
You're Mines Still,Yung Bleu Featuring Drake,,24,26,11,24,False,2021-02-27
Willow,Taylor Swift,,1,29,10,25,False,2021-02-27
Body,Megan Thee Stallion,,12,21,13,26,False,2021-02-27
Streets,Doja Cat,,18,22,6,27,False,2021-02-27
Anyone,Justin Bieber,,6,34,7,28,False,2021-02-27
My Ex's Best Friend,Machine Gun Kelly X blackbear,,25,25,27,29,False,2021-02-27
Throat Baby (Go Baby),BRS Kash,,24,33,18,30,False,2021-02-27
Bang!,AJR,,8,23,33,31,False,2021-02-27
On Me,Lil Baby,,29,31,11,32,False,2021-02-27
Before You Go,Lewis Capaldi,,9,32,52,33,False,2021-02-27
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,,6,27,27,34,False,2021-02-27
Good Time,Niko Moon,,31,35,20,35,False,2021-02-27
Laugh Now Cry Later,Drake Featuring Lil Durk,,2,30,27,36,False,2021-02-27
Starting Over,Chris Stapleton,,25,40,25,37,False,2021-02-27
