title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
All I Want For Christmas Is You,Mariah Carey,,1,2,41,1,False,2020-12-19
Mood,24kGoldn Featuring iann dior,,1,1,18,2,False,2020-12-19
Rockin' Around The Christmas Tree,Brenda Lee,,2,4,36,3,False,2020-12-19
Positions,Ariana Grande,,1,3,7,4,False,2020-12-19
Jingle Bell Rock,Bobby Helms,,3,9,33,5,False,2020-12-19
It's The Most Wonderful Time Of The Year,Andy Williams,,6,12,18,6,False,2020-12-19
Blinding Lights,The Weeknd,,1,11,54,7,False,2020-12-19
Laugh Now Cry Later,Drake Featuring Lil Durk,,2,6,17,8,False,2020-12-19
Holy,Justin Bieber Featuring Chance The Rapper,,3,7,12,9,False,2020-12-19
Feliz Navidad,Jose Feliciano,,10,16,12,10,False,2020-12-19
Last Christmas,Wham!,,11,21,17,11,False,2020-12-19
I Hope,Gabby Barrett Featuring Charlie Puth,,3,8,50,12,False,2020-12-19
Go Crazy,Chris Brown & Young Thug,,9,15,31,13,False,2020-12-19
A Holly Jolly Christmas,Burl Ives,,4,24,17,14,False,2020-12-19
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,,15,22,11,15,False,2020-12-19
The Christmas Song (Merry Christmas To You),Nat King Cole,,11,18,24,16,False,2020-12-19
Dakiti,Bad Bunny & Jhay Cortez,,5,5,6,17,False,2020-12-19
Body,Megan Thee Stallion,,12,14,3,18,False,2020-12-19
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,,6,13,17,19,False,2020-12-19
Sleigh Ride,The Ronettes,,20,23,9,20,False,2020-12-19
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,,6,17,23,21,False,2020-12-19
Kings & Queens,Ava Max,,13,19,18,22,False,2020-12-19
Therefore I Am,Billie Eilish,,2,20,5,23,False,2020-12-19
Dynamite,BTS,,1,10,16,24,False,2020-12-19
Underneath The Tree,Kelly Clarkson,,25,30,7,25,False,2020-12-19
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,,8,25,6,26,False,2020-12-19
Levitating,Dua Lipa,,20,26,10,27,False,2020-12-19
Bang!,AJR,,24,27,23,28,False,2020-12-19
Happy Holiday / The Holiday Season,Andy Williams,,24,34,6,29,False,2020-12-19
On Me,Lil Baby,,30,0,1,30,True,2020-12-19
Christmas (Baby Please Come Home),Darlene Love,,29,41,5,31,False,2020-12-19
White Christmas,Bing Crosby,,12,37,18,32,False,2020-12-19
It's Beginning To Look A Lot Like Christmas,Michael Buble,,33,39,3,33,False,2020-12-19
Rudolph The Red-Nosed Reindeer,Gene Autry,,16,40,10,34,False,2020-12-19
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,,28,45,6,35,False,2020-12-19
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,,28,36,8,36,False,2020-12-19
(There's No Place Like) Home For The Holidays,Perry Como,,32,47,5,37,False,2020-12-19
Monster,Shawn Mendes & Justin Bieber,,8,38,3,38,False,2020-12-19
Santa Tell Me,Ariana Grande,,39,0,6,39,False,2020-12-19
Run Rudolph Run,Chuck Berry,,36,0,6,40,False,2020-12-19
Errbody,Lil Baby,,41,0,1,41,True,2020-12-19
Rockstar,DaBaby Featuring Roddy Ricch,,1,35,34,42,False,2020-12-19
WAP,Cardi B Featuring Megan Thee Stallion,,1,33,18,43,False,2020-12-19
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,,1,29,26,44,False,2020-12-19
Wonderful Christmastime,Paul McCartney,,45,0,2,45,False,2020-12-19
What You Know Bout Love,Pop Smoke,,25,52,14,46,False,2020-12-19
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",,2,48,44,47,False,2020-12-19
Holiday,Lil Nas X,,37,51,4,48,False,2020-12-19
